hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
2730455f7e3ec087dcbd478055c759e5,Scourge Aasimar,Soldier,2021-07-13T02:54:33Z,Barbarian 1,Barbarian,,1,,16,17,18,16,18,12,14,14,,Athletics|Perception|Survival|Intimidation,Glaive|Spear|Javelin,,Int,,United States,US,,,,Aasimar,,Glaive|Spear|Javelin,elastic_benz
8333e35b1f8508342990eca6ddb50f82,Half-Orc,City Watch,2021-07-14T23:54:07Z,Barbarian 1,Barbarian,,1,,15,14,16,13,16,8,12,10,,Athletics|Insight|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,,United States,US,,,,Half-Orc,,Greataxe|Handaxe|Javelin,focused_borg
43c936514f680b15690806e76c9b598b,Mountain Dwarf,Custom,2019-10-10T03:34:17Z,Barbarian 1,Barbarian,,1,,15,14,17,12,17,8,8,13,,Athletics|Perception|Survival|Intimidation,Maul|Handaxe|Javelin,,Int,,,,,,,Dwarf,,Maul|Handaxe|Javelin,ecstatic_panini
b710f6fd688ad3d7e99e89cdad475540,Dragonborn,Barbarian Tribe Member,2019-10-13T04:12:45Z,Barbarian 1,Barbarian,,1,,10,13,16,13,14,10,13,10,,Athletics|Nature|Perception|Survival,Greataxe|Handaxe|Javelin,,Int,,United States,US,,,,Dragonborn,,Greataxe|Handaxe|Javelin,cranky_hopper
bd8b033bd3e0e69fd47713e2a1e05838,Bugbear,Barbarian Tribe Member,2019-10-22T21:08:24Z,Barbarian 1,Barbarian,,1,,14,14,20,14,14,8,11,11,,Athletics|Stealth|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,,Canada,CA,,,,Bugbear,,Greataxe|Handaxe|Javelin,magical_lewin
d0bcf6fa6cabfbd30a21dbf6cc4e30e0,Shadow Elf,Haunted One,2019-10-18T22:20:29Z,Barbarian 1,Barbarian,,1,,14,15,16,16,14,8,12,8,,Athletics|Investigation|Animal Handling|Perception,Greatsword|Dagger|Javelin,,Int,,United States,US,,,,Elf,,Greatsword|Dagger|Javelin,angry_sanderson
cd28734c43bebc0a9fbad48f4973d7c6,Wood Elf,Outlander,2019-10-18T22:14:53Z,Barbarian 1,Barbarian,,1,,14,16,14,18,14,10,13,10,,Athletics|Nature|Animal Handling|Perception|Survival,Glaive|Shortbow|Javelin,,Int,,United States,US,,,,Elf,,Glaive|Shortbow|Javelin,sharp_borg
6f418af124c8d5512e6eed0535c13d92,Half-Orc,Criminal,2021-07-01T21:59:32Z,Barbarian 1,Barbarian,,1,,15,15,18,14,16,15,13,7,,Athletics|Stealth|Survival|Deception|Intimidation,Longsword|Handaxe|Javelin,,Int,,United States,US,,,,Half-Orc,,Longsword|Handaxe|Javelin,recursing_darwin
44049310f04bee2ad59c17a953b86510,Human,Outlander,2019-10-16T19:13:03Z,Barbarian 1,Barbarian,,1,,14,13,16,13,14,12,14,10,,Athletics|Perception|Survival|Intimidation,Longsword|Handaxe|Javelin,,Int,,United States,US,,,,Human,,Longsword|Handaxe|Javelin,agitated_joliot
ff1b7f63f344120dc2ffeb2b1bcc34d4,Lineage - Zari,Criminal,2019-10-14T03:57:00Z,Barbarian 1,Barbarian,,1,,15,15,18,15,16,8,10,13,,Athletics|Stealth|Deception|Intimidation,Maul|Handaxe|Javelin,,Int,,United States,US,,,,Tiefling,,Maul|Handaxe|Javelin,nifty_hellman
