hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
3bb45ec8069fce1efc6a97625a5a263c,Tiefling,Entertainer,2019-10-13T04:10:21Z,Bard 1,Bard,,1,,8,13,10,14,10,14,12,16,,Acrobatics|Sleight of Hand|Perception|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Tiefling,,Rapier|Dagger,flamboyant_kirch
1ef2ad6bddfddf4cd6e85a76d0a0247f,Lineage - Meph,Haunted One,2019-10-09T21:14:11Z,Bard 1,Bard,,1,,7,12,15,14,8,14,10,14,,Investigation,Rapier|Dagger,,Cha,,,,,,,Tiefling,,Rapier|Dagger,optimistic_newton
789741e2323ec0a33bc742852c6365cc,Human,Sailor,2019-10-16T19:11:40Z,Bard 1,Bard,,1,,9,13,11,14,12,14,12,16,,Athletics|History|Animal Handling|Perception|Performance,Rapier|Dagger,Friends*0|Vicious Mockery*0|Animal Friendship*1|Charm Person*1|Cure Wounds*1|Dissonant Whispers*1,Cha,,United States,US,,,,Human,Friends*0|Vicious Mockery*0|Animal Friendship*1|Charm Person*1|Cure Wounds*1|Dissonant Whispers*1,Rapier|Dagger,peaceful_neumann
4ac085409387ec137a288a6d117fc6c7,Orc,Hermit,2019-10-13T11:45:58Z,Bard 1,Bard,,1,,10,12,15,12,15,8,8,15,,Athletics|Acrobatics|Religion|Medicine|Perception|Intimidation,Longsword|Dagger,,Cha,,,,,,,Orc,,Longsword|Dagger,nifty_mccarthy
1766de2f8f7d305e1938f62a4669e864,Half-Elf,Entertainer,2019-10-18T16:34:04Z,Bard 1,Bard,,1,,10,13,8,16,14,10,12,16,,Acrobatics|Stealth|Perception|Deception|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Half-Elf,,Rapier|Dagger,xenodochial_cartwright
f679d8437ff5683c606376d77bc5340c,Half-Orc,Sailor,2019-09-18T01:09:07Z,Bard 1,Bard,,1,,9,13,10,14,14,12,10,15,Chaotic Good,Athletics|Arcana|Religion|Perception|Intimidation|Persuasion,Handaxe|Dagger,Vicious Mockery*0|Prestidigitation*0|Healing Word*1|Dissonant Whispers*1,Cha,,Canada,CA,CG,,,Half-Orc,Vicious Mockery*0|Prestidigitation*0|Healing Word*1|Dissonant Whispers*1,Handaxe|Dagger,inspiring_antonelli
814711900609fe334cbe215052cbe285,Half-Elf,Urchin,2019-09-17T01:11:23Z,Bard 1,Bard,,1,,9,12,10,14,12,12,14,16,,Sleight of Hand|Stealth|Investigation|Perception|Deception|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Half-Elf,,Rapier|Dagger,bold_agnesi
946b24c58afe62f2cac01b74502e8226,Lightfoot Halfling,Entertainer,2019-09-17T01:11:08Z,Bard 1,Bard,,1,,8,15,10,16,11,11,11,16,,Acrobatics|Deception|Intimidation|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Halfling,,Rapier|Dagger,inspiring_swanson
a543d3a82ba8ffe7c82530b2ddc924ea,Tabaxi,Noble,2019-09-14T18:01:57Z,Bard 1,Bard,,1,,8,14,11,18,11,12,11,16,,Stealth|History|Investigation|Perception|Deception|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Tabaxi,,Rapier|Dagger,agitated_varahamihira
fdecbfae9f250b4037c83f2ad96bcfa5,Tabaxi,Noble,2019-09-14T17:55:43Z,Bard 1,Bard,,1,,0,13,11,16,11,12,11,15,Chaotic Good,Stealth|History|Investigation|Perception|Deception|Performance|Persuasion,Rapier|Dagger|Claws,Vicious Mockery*0|True Strike*0|Tasha's Hideous Laghter*1|Healing Word*1|Cure Wounds*1|Thunderwave*1,Cha,,United States,US,CG,,,Tabaxi,Vicious Mockery*0|True Strike*0|Tasha's Hideous Laughter*1|Healing Word*1|Cure Wounds*1|Thunderwave*1,Rapier|Dagger|,cool_carson
