hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,alias
3b237a52c272fa2c4142621696e7ce90,Dark Elf,Haunted One,2021-07-12T20:41:33Z,Cleric 1,Cleric,Twilight Domain,1,,9,15,15,16,13,12,10,9,,Investigation|Perception,Mace,Faerie Fire*1|Sleep*1,Wis,,United States,US,awesome_rosalind
5695d85d5682624ea10ae0adba15670c,Half-Elf,Acolyte,2019-10-10T03:34:42Z,Cleric 1,Cleric,Forge Domain,1,,10,15,14,16,14,14,15,15,,Arcana|Religion|Insight|Medicine|Perception|Persuasion,Mace,Identify*1|Searing Smite*1,Wis,,,,affectionate_driscoll
d2e23c514840666dd6a8451736983ad4,Human,Acolyte,2019-10-13T04:13:20Z,Cleric 1,Cleric,Light Domain,1,Lucky,9,17,10,13,12,10,16,14,,History|Religion|Insight|Medicine,"Mace|Crossbow, light",Light*0|Burning Hands*1|Faerie Fire*1,Wis,,United States,US,elegant_lederberg
382aae83760674081c8adf5939cf022c,Goliath,Acolyte,2021-06-26T20:32:35Z,Cleric 1,Cleric,Twilight Domain,1,,11,18,10,15,16,8,15,8,,Athletics|History|Religion|Insight|Medicine,Warhammer|Handaxe,Faerie Fire*1|Sleep*1,Wis,,United States,US,infallible_gauss
3b4a9864078e7685fb73156f9ae4da0f,Half-Orc,Folk Hero,2019-10-20T03:11:20Z,Cleric 1,Cleric,War Domain,1,,10,12,16,9,15,10,15,11,,Animal Handling|Insight|Medicine|Survival|Intimidation,Warhammer,Divine Favor*1|Shield of Faith*1,Wis,,United States,US,magical_galois
ed24a060fb3edcc67c1ffa62d0465e6a,Hill Dwarf,Sage,2021-07-01T22:09:53Z,Cleric 1,Cleric,Life Domain,1,,10,12,10,9,12,10,17,14,,Arcana|History|Insight|Persuasion,Mace,Bless*1|Cure Wounds*1,Wis,,United States,US,eager_galileo
d397fcd749bca9ca58ccb6d29f15a458,Hill Dwarf,Guild Artisan,2019-10-17T01:07:20Z,Cleric 1,Cleric,Forge Domain,1,,11,18,14,8,15,12,16,10,,History|Religion|Insight|Persuasion,Warhammer|Handaxe,Mending*0|Spare The Dying*0|Toll The Dead*0|Identify*1|Searing Smite*1|Bless*1|Ceremony*1|Cure Wounds*1|Detect Evil/Good*1|Detect Magic*1|Guiding Bolt*1|Healing Word*1|Protection From Good/Evil*1|Sanctuary*1|Shield Of Faith*1,Wis,,United States,US,agitated_keller
7335a4870ae097f66fb491191eda9bcf,Human,Noble,2019-10-16T19:12:09Z,Cleric 1,Cleric,Light Domain,1,,8,16,14,10,11,14,16,14,,History|Religion|Insight|Persuasion,Mace,Guidance*0|Light*0|Sacred Flame*0|Thaumaturgy*0|Burning Hands*1|Faerie Fire*1|Command*1|Healing Word*1,Wis,,United States,US,sweet_easley
a99ea24d1a5edf0f69c224bd45e2b6e2,Warforged,Acolyte,2021-07-17T05:55:48Z,Cleric 1,Cleric,Grave Domain,1,,10,17,12,8,15,10,15,15,,History|Religion|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Spare the Dying*0|Bane*1|False Life*1,Wis,,Australia,AU,relaxed_herschel
e2dad11b7d5b3b46f2d8a69df6f537bc,Halb-Ork,Weiser,2019-10-06T07:02:59Z,Cleric 1,Cleric,Knowledge Domain,1,,9,16,14,10,12,14,14,12,CG,Arcana|History|Nature|Religion|Insight|Medicine|Intimidation,"Streitkolben|Crossbow, Light",Heilige Flamme*0|Licht*0|Thaumaturgie*0|Befehl*1|Identifizieren*1|GiftandKrankheit entdecken*1|GutesandBöses entdecken*1|Heilendes Wort*1|Heiligtum*1|Lenkendes Geschoss *1|Magie entdecken*1|NahrungandWasser reinigen*1|Schild des Glaubens*1|Schutz vor GutesandBöses*1|Segnen*1|Verderben*1|Wasser erschaffen/zerstören*1|Wunden heilen*1|Wunden verursachen*1,Wis,,,,adoring_stonebraker
