hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
0e6a409c7ea74fd9c5c78cd2c6c9ad40,Wood Elf,Hermit,2019-10-13T04:11:42Z,Druid 1,Druid,,1,,9,14,10,13,13,13,16,11,,Religion|Animal Handling|Medicine|Perception|Survival,Scimitar,,Wis,,United States,US,,,,Elf,,Scimitar,hungry_shirley
b4fef04dc849509211c0f26313d87bab,Stout Halfling,Hermit,2019-10-11T00:25:51Z,Druid 1,Druid,,1,,11,13,13,16,17,15,18,10,,Nature|Religion|Animal Handling|Medicine,Quarterstaff|Dagger,,Wis,,United States,US,,,,Halfling,,Quarterstaff|Dagger,awesome_robinson
522cd7f56f22c6925a043e2b8f47273e,Centaur,Knight,2019-09-23T11:54:50Z,Druid 1,Druid,,1,,12,14,17,16,18,9,20,2,,Arcana|Nature|Survival|Persuasion,"Crossbow, light|Light hammer",,Wis,,United Kingdom,GB,,,,Centaur,,"Crossbow, Light|Light hammer",musing_lewin
178fa2e2f63a9ade84ee58ba0d99367e,Ghastly Halfling,Hermit,2019-09-11T20:08:14Z,Druid 1,Druid,,1,,10,13,9,14,14,14,16,10,chaotic nuetral,Nature|Religion|Animal Handling|Medicine,Sling|Scimitar,Magic Stone*0|Druidcraft*0|Cure Wounds*1|Goodberry*1|Faerie Fire*1|Animal Friendship*1|Charm Person*1|Create Or Destroy Water*1|Detect Magic R*1|Detect Poison And Disease R*1|Entangle*1|Fog Cloud*1|Healing Word*1|Jump*1|Longstrider*1|Purify Food And Drink R*1|Speak To Animals R*1|Thunderwave*1|Absorb Elements*1|Beast Bond*1|Earth Tremor*1|Guiding Hand*1|Ice Knife*1|Wild Cunning*1,Wis,,,,CN,,,Halfling,Magic Stone*0|Druidcraft*0|Cure Wounds*1|Goodberry*1|Faerie Fire*1|Animal Friendship*1|Charm Person*1|Create or Destroy Water*1|Detect Magic*1|Detect Poison and Disease*1|Entangle*1|Fog Cloud*1|Healing Word*1|Jump*1|Longstrider*1|Purify Food and Drink*1|Speak with Animals*1|Thunderwave*1|Absorb Elements*1|Beast Bond*1|Earth Tremor*1|Burning Hands*1|Ice Knife*1|*,Sling|Scimitar,admiring_rhodes
eabb8edc27f1a713ce5a73e9c45ba395,Wood Elf,Far Traveler,2019-09-07T22:52:46Z,Druid 1,Druid,,1,,10,15,9,16,14,12,16,10,,Nature|Insight|Perception|Survival,Scimitar,,Wis,,United States,US,,,,Elf,,Scimitar,trusting_rosalind
06604c094bd3454b7304fbaaffbf3236,Lightfoot Halfling,Folk Hero,2021-07-24T00:36:52Z,Druid 1,Druid,,1,,9,12,14,10,13,10,15,13,,Nature|Animal Handling|Medicine|Survival,Scimitar,,Wis,,Canada,CA,,,,Halfling,,Scimitar,blissful_volhard
3cc89a8123308d95c1191977de5914f4,Stout Halfling,Entertainer,2019-10-24T22:11:00Z,Druid 1,Druid,,1,,9,13,11,15,13,8,16,11,CG,Acrobatics|Animal Handling|Medicine|Performance,Quarterstaff|Javelin,Shilalegh*0|Magic Stone*0|Create Water*1|Cure Wounds*1|Thunder Wave*1|Goodberry*1,Wis,,United Kingdom,GB,CG,,,Halfling,Shillelagh*0|Magic Stone*0|*|Cure Wounds*1|Thunderwave*1|Goodberry*1,Quarterstaff|Javelin,quizzical_tesla
262333103623a381bae5d2850aa431fd,Mycanid,Anthropologist,2021-05-29T23:28:56Z,Druid 1,Druid,,1,,11,13,10,11,17,12,19,9,Lawful Neutral,Arcana|Nature|Medicine|Survival,,,Wis,custom lineage variable trait/Darkvision,United States,US,LN,,,,,,blissful_goodall
e13ef9d34b22a38167db663a9f57ce8a,Half-Elf,Sage,2019-11-24T02:21:41Z,Druid 1,Druid,,1,,10,12,10,10,15,15,16,12,Chaotic Neutral,Arcana|History|Nature|Animal Handling|Medicine|Survival,Quarterstaff,Druidcraft*0|Mending*0,Wis,,Canada,CA,CN,,,Half-Elf,Druidcraft*0|Mending*0,Quarterstaff,focused_torvalds
5fd4ad8dd4e9d3635024061ce10def7b,Wood Elf,Acolyte,2021-05-15T22:17:28Z,Druid 1,Druid,,1,,10,16,10,16,14,10,16,8,,Religion|Insight|Medicine|Perception|Survival,Scimitar,,Wis,,Canada,CA,,,,Elf,,Scimitar,eager_wing
