hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
797f4bce911a2f812643f0cc562a7809,Bugbear,Barbarian Tribe Member,2019-10-23T20:17:15Z,Monk 1,Monk,,1,,9,7,14,11,13,4,5,7,,Athletics|Acrobatics|Stealth|Insight|Survival,Sling|Dart|Unarmed strike,,Int,,United States,US,,,,Bugbear,,Sling|Dart|Unarmed Strike,suspicious_fermat
96c36bbe9d442d4b482bce4344df8e21,Human,Hermit,2019-10-13T04:14:18Z,Monk 1,Monk,,1,Lucky,9,15,10,16,12,10,15,11,,Acrobatics|Stealth|Religion|Insight|Medicine,Quarterstaff|Dart|Unarmed strike,,Int,,United States,US,,,,Human,,Quarterstaff|Dart|Unarmed Strike,wonderful_fermat
4923a945ffe7689ba0b3e9b43b4eacc3,Wald Elf,Einsiedler,2019-10-06T07:36:46Z,Monk 1,Monk,,1,,10,15,12,16,14,10,14,10,RN,Athletics|Acrobatics|Religion|Medicine|Perception,Wurfpfeil|Waffenloser Schlag|Kampfstab|Kampfstab Zweihändig,,Int,,,,,,,Elf,,|||,priceless_jennings
951a8ba0110c20fa1a66c9e5d970124b,Half-Elf,Outlander,2019-09-27T13:54:54Z,Monk 1,Monk,,1,,10,14,8,16,14,14,12,12,,Athletics|Acrobatics|Stealth|Insight|Perception|Survival,Quarterstaff|Dart|Unarmed strike,,Int,,United States,US,,,,Half-Elf,,Quarterstaff|Dart|Unarmed Strike,gracious_shirley
d884b0cbb8eecf6ba0fe22b8c02f0225,Turtle,Hermit,2019-12-10T22:59:26Z,Monk 1,Monk,,1,,10,18,16,12,14,10,13,11,NG,Athletics|Religion|Insight|Medicine|Survival,Quarterstaff|Dart|Unarmed strike,,Int,,United States,US,NG,,,Turtle,,Quarterstaff|Dart|Unarmed Strike,keen_heyrovsky
b26f8738f7dd469741bbd255885b6205,Half-Elf,Urban Bounty Hunter,2019-12-30T13:02:30Z,Monk 1,Monk,,1,,11,14,9,18,16,11,11,11,,Athletics|Acrobatics|Stealth|Investigation|Insight|Intimidation,Shortsword|Dart|Unarmed strike,,Int,,,,,,,Half-Elf,,Shortsword|Dart|Unarmed Strike,sad_curran
c71873bba75d396b3b53dd2132f84c86,Tabaxi,Hermit,2019-12-24T02:06:38Z,Monk 1,Monk,,1,,9,15,10,17,12,15,15,13,,Acrobatics|Stealth|Religion|Insight|Medicine|Perception,Dart|Unarmed strike,,Int,,,,,,,Tabaxi,,Dart|Unarmed Strike,dreamy_cohen
39be621a59a664171abfea97c6be55d7,,Hermit,2021-06-09T13:09:25Z,Monk 1,Monk,,1,,10,15,9,16,14,13,15,11,,Acrobatics|Stealth|Religion|Medicine,Shortsword|Dart|Unarmed strike,,Int,,,,,,,,,Shortsword|Dart|Unarmed Strike,wizardly_bartik
530e657187f4bb53ca8a6f1577ce09d8,Human,Entertainer,2019-11-17T03:02:04Z,Monk 1,Monk,,1,,9,13,9,16,13,12,10,15,,Athletics|Acrobatics|Stealth|Performance,Dart|Unarmed Strike,,Int,,,,,,,Human,,Dart|Unarmed Strike,inspiring_perlman
afcf6f7a3a9879b139e61417dc26f1f5,Dragonborn,Urchin,2019-11-17T02:58:36Z,Monk 1,Monk,,1,,8,12,15,13,11,10,13,16,,Acrobatics|Sleight of Hand|Stealth|Insight,Shortsword|Dart|Unarmed Strike,,Int,,,,,,,Dragonborn,,Shortsword|Dart|Unarmed Strike,laughing_hamilton
e6a883c9fc7087ffe031ea3ea82865b7,Wood Elf,Outlander,2019-11-16T17:00:35Z,Monk 1,Monk,,1,,9,13,15,16,13,12,11,8,,Athletics|Acrobatics|Stealth|Perception|Survival,Shortsword|Dart|Unarmed strike,,Int,,,,,,,Elf,,Shortsword|Dart|Unarmed Strike,dreamy_lalande
c566eccc979672f4bb3617f328d4bccf,Kobold,Urchin,2019-11-12T17:19:51Z,Monk 1,Monk,,1,,48,17,13,18,15,9,16,8,neutral evil,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Performance,Quarterstaff|Dart|Unarmed strike,,Wis,,,,NE,,,Kobold,,Quarterstaff|Dart|Unarmed Strike,sad_williamson
ce2b6faa6f52a695f51e7948e438d925,Swiftstride Shifter,Far Traveler,2019-07-10T06:07:26Z,Monk 1,Monk,,1,,10,19,12,18,14,12,20,14,Chaotic Neutral,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception,Quarterstaff|Unarmed strike|Dart,,Int,,United States,US,CN,,,Shifter,,Quarterstaff|Unarmed Strike|Dart,practical_clarke
dc64408aaff3515b050e1179dd20afe5,Wood Elf,Noble,2019-07-18T13:22:17Z,Monk 1,Monk,,1,,10,16,10,16,14,10,16,8,,Athletics|Acrobatics|History|Perception|Persuasion,Shortsword|Dart|Unarmed strike,,Int,,United States,US,,,,Elf,,Shortsword|Dart|Unarmed Strike,dazzling_jones
0835129f0dc892a965edb32c599e95a6,Half-Orc,Urchin,2019-07-18T13:17:44Z,Monk 1,Monk,,1,,10,14,12,15,14,8,15,10,,Athletics|Acrobatics|Sleight of Hand|Stealth|Intimidation,Spear|Dart|Unarmed strike,,Int,,United States,US,,,,Half-Orc,,Spear|Dart|Unarmed Strike,elastic_ganguly
250b96e7c58f3a30f94f88bdd7bb070b,Fire Genasi,Inheritor,2019-07-16T01:50:50Z,Monk 1,Monk,,1,,8,14,11,14,13,12,14,12,neutral good,Athletics|Acrobatics|History|Survival|Persuasion,Dart|Unarmed strike|Shortsword,Produce Flame *0,Int,,United States,US,NG,,,Genasi,Produce Flame*0,Dart|Unarmed Strike|Shortsword,festive_chaum
22f4d7773a7073d701f936eee2642a93,Hill Dwarf,Hermit,2019-07-11T03:06:37Z,Monk 1,Monk,,1,,10,14,13,15,12,8,15,12,,Acrobatics|Stealth|Religion|Medicine,Quarterstaff|Dart|Unarmed strike,,Int,,Canada,CA,,,,Dwarf,,Quarterstaff|Dart|Unarmed Strike,objective_khayyam
286d2db12d91a96f65766e3ff2129dc0,Human,Urchin,2019-06-06T22:39:37Z,Monk 1,Monk,,1,Lucky,10,16,8,16,14,8,16,10,Chaotic Neutral,Athletics|Sleight of Hand|Stealth|Insight|Perception,Mace|Dart|Unarmed strike,,Int,,United States,US,CN,,,Human,,Mace|Dart|Unarmed Strike,youthful_aryabhata
32ea250799ae5b0b54b98dd763a0a686,Half-Orc,Hermit,2019-06-04T15:07:51Z,Monk 1,Monk,,1,,11,15,11,16,16,9,15,10,Neutral ,Athletics|Religion|Medicine|Intimidation,Javelin|Dart|Unarmed strike,,Int,,,,NN,,,Half-Orc,,Javelin|Dart|Unarmed Strike,magical_khayyam
78d57fe7bd2221abea1362a3b566ce65,Geth - Zer,Far Traveler,2019-06-03T23:55:03Z,Monk 1,Monk,,1,,10,14,10,13,14,10,17,11,,Acrobatics|History|Insight|Perception,Quarterstaff|Dart|Unarmed Strike,,Int,,,,,,,Gith,,Quarterstaff|Dart|Unarmed Strike,angry_payne
c1439334c332f092657d8c2c387ba926,Leonine,Sailor,2021-10-14T12:28:17Z,Monk 1,Monk,,1,,10,14,9,15,14,13,14,10,,Athletics|Acrobatics|History|Perception,Dart|Unarmed strike|Quarterstaff,,Int,,United Kingdom,GB,,,,Leonin,,Dart|Unarmed Strike|Quarterstaff,elastic_murdock
7007996458a3ef347d9012b4fae5a42d,Protector Aasimar,Folk Hero,2019-06-12T00:09:15Z,Monk 1,Monk,,1,,11,17,15,17,17,14,16,18,,Acrobatics|Animal Handling|Insight|Survival,Shortsword|Dart|Unarmed strike,Light*0,Int,,,,,,,Aasimar,Light*0,Shortsword|Dart|Unarmed Strike,angry_banzai
278f9e2a651f44030f94b69ab70a5969,Rock Gnome,Urban Bounty Hunter,2019-08-26T13:42:25Z,Monk 1,Monk,,1,,8,13,15,14,11,10,12,13,,Athletics|Acrobatics|Insight|Deception,Sickle|Dart|Unarmed Strike,,Int,,,,,,,Gnome,,Sickle|Dart|Unarmed Strike,quirky_dubinsky
eec833f32ded86fc9d00fc27582e5f38,Animal Hybrid,Urban Bounty Hunter,2019-07-23T17:17:42Z,Monk 1,Monk,,1,,11,13,10,15,16,13,12,8,,Acrobatics|Stealth|History|Insight,Shortsword|Dart|Unarmed strike,,Int,animal enhancement/Underwater Adaptation,,,,,,Simic hybrid,,Shortsword|Dart|Unarmed Strike,loving_austin
fb2a853e93697af0990f6f375b1ea940,Air Genasi,Urban Bounty Hunter,2019-07-23T17:18:00Z,Monk 1,Monk,,1,,13,17,8,21,20,17,15,16,,Acrobatics|Stealth|History|Insight,"Crossbow, light|Dart|Unarmed strike",,Int,,,,,,,Genasi,,"Crossbow, Light|Dart|Unarmed Strike",youthful_stonebraker
4d7bcfe9b34e9b7b5ee75e262e6aef98,Desert Elf,Far Traveler,2019-07-29T16:54:13Z,Monk 1,Monk,,1,,9,15,10,17,13,8,14,13,Chaotic Neutral,Acrobatics|History|Insight|Perception|Survival,Dart|Unarmed strike|Scimitar|Scimitar,Blur*0|Blur*2,Int,climates/Hot Climate,,,CN,,,Elf,*|Blur*2,Dart|Unarmed Strike|Scimitar|Scimitar,flamboyant_margulis
7a18cb6ab3c342f1673a1d8678e7966d,Half-Elf,Hermit,2019-05-31T22:29:14Z,Monk 1,Monk,,1,,7,15,12,16,12,13,14,7,Lawful Good,Athletics|Acrobatics|Stealth|History|Religion|Medicine,Quarterstaff|Dart|Unarmed strike,,Int,,Canada,CA,LG,,,Half-Elf,,Quarterstaff|Dart|Unarmed Strike,stupefied_booth
ba970585829d82914267167a2353b532,Wood Elf,Hermit,2020-01-04T17:34:27Z,Monk 1,Monk,,1,,9,15,10,17,13,8,15,12,,Acrobatics|Stealth|Religion|Medicine|Perception,Shortsword|Dart|Unarmed Strike|Dagger,,Int,,United States,US,,,,Elf,,Shortsword|Dart|Unarmed Strike|Dagger,stupefied_borg
81f5f845a55175369b793aaacbb82f80,Tabaxi,Entertainer,2020-07-17T02:45:58Z,Monk 1,Monk,,1,,9,16,8,18,12,10,14,13,,Athletics|Acrobatics|Stealth|Insight|Perception|Performance,Dagger|Dart|Unarmed strike,,Int,,,,,,,Tabaxi,,Dagger|Dart|Unarmed Strike,amazing_edison
3acb5e902fc1a279d49ea794d1121efd,Turtle,Custom,2020-07-07T07:38:54Z,Monk 1,Monk,,1,,9,20,16,10,12,9,16,12,Neutral Good,Athletics|Nature|Insight|Perception|Survival,Quarterstaff|Dart|Unarmed strike,,Int,,United States,US,NG,,,Turtle,,Quarterstaff|Dart|Unarmed Strike,nostalgic_mcnulty
bb0cbc6a75c1d683a6a667c5256c0cbd,Dragonborn,Entertainer,2021-01-20T01:09:26Z,Monk 1,Monk,,1,,9,15,13,15,13,9,17,13,,Athletics|Acrobatics|Religion|Performance,Quarterstaff|Dart|Unarmed strike,,Int,,,,,,,Dragonborn,,Quarterstaff|Dart|Unarmed Strike,crazy_brahmagupta
1a52053f2ee5e1fae558f7eaa0f74f66,Ghastly Halfling,Far Traveler,2021-01-20T17:47:21Z,Monk 1,Monk,,1,,10,16,8,17,14,10,16,8,,Acrobatics|History|Insight|Perception,Quarterstaff|Dart|Unarmed strike,,Int,,,,,,,Halfling,,Quarterstaff|Dart|Unarmed Strike,thirsty_snyder
9a8918c43d5af85d18f430b52cca2db0,Half-Elf,Entertainer,2021-01-24T00:44:06Z,Monk 1,Monk,,1,,10,17,9,18,14,12,16,8,,Athletics|Acrobatics|Stealth|History|Insight|Performance,Shortsword|Dart|Unarmed strike,,Int,,,,,,,Half-Elf,,Shortsword|Dart|Unarmed Strike,friendly_snyder
