hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
56c92961c98aac49411817a565a63b02,Tiefling,Urban Bounty Hunter,2020-01-09T19:46:02Z,Warlock 1,Warlock,The Fiend,1,,10,12,8,14,14,11,10,17,Chaotic Good,Stealth|Deception|Intimidation|Persuasion,Dagger,,Cha,tiefling variants menu/Winged,United States,US,CG,,,Tiefling,,Dagger,youthful_jang
0e6a409c7ea74fd9c5c78cd2c6c9ad40,Wood Elf,Hermit,2019-10-13T04:11:42Z,Druid 1,Druid,,1,,9,14,10,13,13,13,16,11,,Religion|Animal Handling|Medicine|Perception|Survival,Scimitar,,Wis,,United States,US,,,,Elf,,Scimitar,hungry_shirley
3819682e2080b9f3ae1c6aea22b636b5,Human,Acolyte,2021-07-10T12:01:37Z,Warlock 1,Warlock,The Hexblade,1,Polearm Master,5,14,13,16,10,8,12,18,,History|Investigation|Religion|Insight|Perception,Dagger|Dagger,,Cha,,Norway,NO,,,,Human,,Dagger|Dagger,loving_leavitt
d8a73467c24f44ec5c4c4e6ce7d19054,Mountain Dwarf,Soldier,2019-10-13T04:11:15Z,Fighter 1,Fighter,,1,,13,19,16,12,16,10,13,10,,Athletics|History|Survival|Intimidation,"Battleaxe|Crossbow, light",,Int,fighting style/Defense,United States,US,,,,Dwarf,,"Battleaxe|Crossbow, Light",heuristic_agnesi
b19d74c92eb490aeffb61aea3dee7731,Human,Sage,2019-10-13T04:10:48Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,War Caster,9,14,10,12,14,10,13,16,,Arcana|History|Religion|Insight|Perception,"Crossbow, light|Dagger",,Cha,,United States,US,,,,Human,,"Crossbow, Light|Dagger",affectionate_wilson
3bb45ec8069fce1efc6a97625a5a263c,Tiefling,Entertainer,2019-10-13T04:10:21Z,Bard 1,Bard,,1,,8,13,10,14,10,14,12,16,,Acrobatics|Sleight of Hand|Perception|Performance|Persuasion,Rapier|Dagger,,Cha,,United States,US,,,,Tiefling,,Rapier|Dagger,flamboyant_kirch
1c966859cd00148b1b7bf72f88ef2849,Protector Aasimar,Folk Hero,2019-10-13T04:09:55Z,Paladin 1,Paladin,,1,,12,18,14,10,14,10,13,15,,Athletics|Religion|Animal Handling|Survival,Longsword|Javelin,,Cha,,United States,US,,,,Aasimar,,Longsword|Javelin,brave_volhard
95925a9b5594a995fa2e513893b4bd58,Lightfoot Halfling,Folk Hero,2019-10-13T04:09:23Z,Rogue 1,Rogue,,1,,9,14,10,16,12,10,14,14,,Sleight of Hand|Stealth|Animal Handling|Insight|Survival|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,United States,US,,,,Halfling,,Rapier|Shortbow|Dagger,epic_rhodes
62a177405ea938f317c089ca16e1555c,Tiefling,Haunted One,2019-10-13T04:08:38Z,Warlock 1,Warlock,The Archfey,1,,10,12,10,12,14,14,10,16,,Arcana|Investigation|Nature|Survival,"Crossbow, light|Dagger",,Cha,tiefling variants menu/Devil's Tongue,United States,US,,,,Tiefling,,"Crossbow, Light|Dagger",upbeat_napier
dd04eb7ac3af2af1a8b7e92f8cf2906b,Human,Sailor,2019-10-12T20:04:50Z,Fighter 1,Fighter,,1,Sharpshooter,11,14,8,16,13,10,15,12,,Athletics|Insight|Perception|Survival,"Longbow|Crossbow, light",,Int,fighting style/Archery,United States,US,,,,Human,,"Longbow|Crossbow, Light",vigorous_mcclintock
