hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
1c966859cd00148b1b7bf72f88ef2849,Protector Aasimar,Folk Hero,2019-10-13T04:09:55Z,Paladin 1,Paladin,,1,,12,18,14,10,14,10,13,15,,Athletics|Religion|Animal Handling|Survival,Longsword|Javelin,,Cha,,United States,US,,,,Aasimar,,Longsword|Javelin,brave_volhard
cdd65e04b91c158d286fe09d65a1694c,Leonine,City Watch,2021-07-13T22:55:29Z,Paladin 1,Paladin,,1,,9,17,13,12,15,13,12,13,,Athletics|Insight|Perception|Intimidation,Javelin|Maul,,Cha,,,,,,,Leonin,,Javelin|Maul,elated_hoover
648669c99c9b44d3d780f8e09774bec5,Triton,Sailor,2019-10-22T21:16:38Z,Paladin 1,Paladin,,1,,14,18,19,14,18,9,14,16,,Athletics|Perception|Intimidation|Persuasion,Greatsword|Javelin,,Cha,,Canada,CA,,,,Triton,,Greatsword|Javelin,boring_robinson
a10a9bea2df38ec2a8de29cb596c86d2,Protector Aasimar,Sage,2019-10-22T03:21:55Z,Paladin 1,Paladin,,1,,12,12,14,9,14,13,13,16,,Arcana|History|Insight|Persuasion,Longsword|Javelin,,Cha,,United States,US,,,,Aasimar,,Longsword|Javelin,boring_hertz
71559043e41eef56866115007f8ba6fd,Dragonborn,Knight,2019-10-18T16:50:05Z,Paladin 1,Paladin,,1,,12,10,16,8,14,10,10,16,,Athletics|History|Intimidation|Persuasion,"Greataxe|Crossbow, Heavy|Javelin",,Cha,,United States,US,,,,Dragonborn,,"Greataxe|Crossbow, Heavy|Javelin",brave_booth
334cb163d1a2e1b9b02418a86be6142b,Human,Custom,2021-07-19T08:19:03Z,Paladin 1,Paladin,,1,,1,16,15,13,13,12,13,15,,Athletics|Arcana|Religion|Medicine,Longsword|Spear,,Cha,,United States,US,,,,Human,,Longsword|Spear,heuristic_lehmann
99446c8a33ffbe821685cd8842c1d372,Lizardfolk,Criminal,2021-07-24T11:55:37Z,Paladin 1,Paladin,,1,,13,10,15,10,16,13,8,13,,Stealth|Nature|Religion|Survival|Deception|Intimidation,Warhammer|Handaxe|Maul|Light Hammer,,Cha,,United States,US,,,,Lizardfolk,,Warhammer|Handaxe|Maul|Light hammer,sharp_burnell
72e249ece1574025c6bd0d0cac4572bb,Warforged,Entertainer,2021-07-24T14:36:01Z,Paladin 1,Paladin,,1,,12,14,8,16,15,10,12,14,,Acrobatics|Stealth|Intimidation|Performance|Persuasion,Longsword|Rapier|Javelin,,Cha,,,,,,,Warforged,,Longsword|Rapier|Javelin,jolly_ardinghelli
7fcbf3f7390b8fde139dd37a3926e611,Custom,Custom,2021-06-01T04:34:41Z,Paladin 1,Paladin,,1,Slasher,12,16,13,14,14,8,8,17,,Insight|Persuasion,Greatsword|Rapier,,Cha,custom lineage variable trait/Darkvision,,,,,,Custom,,Greatsword|Rapier,trusting_yalow
4f138f4fdc791ac1b06b1fac6020e03a,Human,Custom,2021-05-15T22:01:07Z,Paladin 1,Paladin,,1,Polearm Master,13,18,15,14,16,13,13,19,,Athletics|Insight|Intimidation|Persuasion,Greatsword,,Cha,,Brazil,BR,,,,Human,,Greatsword,dazzling_northcutt
1f61c741f441d0e1ddcfeb58793c1064,Tabaxi,Haunted One,2019-12-25T17:14:09Z,Paladin 1,Paladin,,1,,11,18,14,14,13,10,8,16,,Athletics|Stealth|Investigation|Religion|Perception|Intimidation,Longsword|Mace,,Cha,,,,,,,Tabaxi,,Longsword|Mace,vibrant_sutherland
dac8c8083dda883ec089d92bc959e073,Human,Custom,2021-05-18T01:13:52Z,Paladin 1,Paladin,,1,Polearm Master,13,18,15,14,17,13,13,18,,Athletics|Insight|Perception|Deception|Persuasion,,,Cha,,Brazil,BR,,,,Human,,,serene_chebyshev
cb124a49444453a2dbcbc8a8dc62a018,Fallen Aasimar,Far Traveler,2019-12-15T22:24:31Z,Paladin 1,Paladin,,1,,13,18,16,10,16,10,14,16,,Athletics|Insight|Perception|Persuasion,Warhammer|Javelin,,Cha,,United Kingdom,GB,,,,Aasimar,,Warhammer|Javelin,wonderful_almeida
37f29005c6db1da1c8d1ff9ed8b3d896,Half-Orc,Sailor,2019-11-05T23:08:56Z,Paladin 1,Paladin,,1,,11,18,16,10,13,8,8,12,,Athletics|Medicine|Perception|Intimidation|Persuasion,Warhammer|Warhammer,,Cha,,Italy,IT,,,,Half-Orc,,Warhammer|Warhammer,naughty_brahmagupta
bdb1251d8f84818aed9f0076568cbb99,Half-Orc,Noble,2019-11-01T14:39:51Z,Paladin 1,Paladin,,1,,12,12,17,8,14,12,10,14,,History|Religion|Insight|Intimidation|Persuasion,Greatsword,,Cha,,Canada,CA,,,,Half-Orc,,Greatsword,jovial_lamport
6a6497a509dcb2b225cd5430e2374565,Human,Barbarian Tribe Member,2019-10-29T22:36:59Z,Paladin 1,Paladin,,1,Inspiring Leader,12,16,16,8,14,8,10,16,,Athletics|Survival|Intimidation|Persuasion,Greataxe|Battleaxe|Handaxe,,Cha,,United States,US,,,,Human,,Greataxe|Battleaxe|Handaxe,tender_kare
5b8441300cde9bdf09ce86dccb5b3fa6,Human,Sailor,2019-10-29T17:39:03Z,Paladin 1,Paladin,,1,Polearm Master,11,18,15,9,12,9,11,18,,Athletics|Religion|Perception|Intimidation,Halberd,,Cha,,Canada,CA,,,,Human,,Halberd,flamboyant_kilby
d3f80da57c2f5af3e7ea7fa3fb1e15cc,Half-Elf,Noble,2019-11-24T00:27:01Z,Paladin 1,Paladin,,1,,13,18,16,14,16,12,12,17,Lawful Good,History|Insight|Medicine|Intimidation|Persuasion,Warhammer|Javelin,,Cha,,,,LG,,,Half-Elf,,Warhammer|Javelin,jovial_shannon
65fe0c85da6ce56e681e71cee308f669,,Custom,2021-06-09T13:09:49Z,Paladin 1,Paladin,,1,,12,18,16,13,14,9,11,15,,Athletics|Religion|Animal Handling|Persuasion,Longsword,,Cha,,,,,,,,,Longsword,pedantic_nash
5674caed3b63981d6d42bca98285ecb1,Changeling,Guild Artisan,2021-06-15T06:03:24Z,Paladin 1,Paladin,,1,,11,13,16,12,13,8,10,16,,Athletics|Insight|Medicine|Intimidation|Persuasion,Greatsword|Javelin,,Cha,,Canada,CA,,,,Changeling,,Greatsword|Javelin,musing_minsky
d00a015530e857867fa03ebd60f021af,Protector Aasimar,Noble,2019-09-01T21:29:48Z,Paladin 1,Paladin,,1,,12,11,17,12,14,14,15,18,,Athletics|History|Insight|Persuasion,Greatsword|Halberd|Javelin,,Cha,,,,,,,Aasimar,,Greatsword|Halberd|Javelin,brave_neumann
93fc61202111a16c12e5f1979b994a34,Turtle,Soldier,2019-06-23T20:32:22Z,Paladin 1,Paladin,,1,,13,19,17,15,16,6,12,14,,Athletics|Religion|Insight|Survival|Intimidation,Warhammer|Javelin,,Cha,,,,,,,Turtle,,Warhammer|Javelin,happy_mccarthy
786a3a4fa634281c78a656e2746977bf,Human,Knight,2019-06-23T18:06:01Z,Paladin 1,Paladin,,1,Skilled,10,18,16,10,10,10,11,16,neutral,Sleight of Hand|Stealth|Arcana|Religion|Medicine|Survival|Intimidation|Persuasion,"Greatsword|Javelin|Crossbow, heavy",,Cha,,,,NN,,,Human,,"Greatsword|Javelin|Crossbow, Heavy",affectionate_dhawan
e4ba8f7f38a4a82a00e14d1207e015dd,Dragonborn,Noble,2019-07-11T03:19:57Z,Paladin 1,Paladin,,1,,11,18,17,10,13,8,12,15,,Athletics|History|Intimidation|Persuasion,War pick|Javelin,,Cha,,Canada,CA,,,,Dragonborn,,War pick|Javelin,optimistic_jepsen
