hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
cae5e618234ee137e3c63d733786562d,Kenku,Guild Member - Spycraft,2022-08-21T21:36:28Z,Ranger 20,Ranger,Beast Master,20,,94,16,13,16,13,15,15,14,,Acrobatics|Stealth|Investigation|Insight|Perception|Deception,Dagger|Dagger|Longbow,Fog Cloud*1|Absorb Elements*1|Speak With Animals*1|Hunters Mark*1|Beast Sense*2|Find Traps*2|Locate Object *2|Conjure Animals*3|Flame Arrows*3|Lighting Arrows*3|Freedom Of Movement*4|Stone Skin*4|Grasping Vine*4|Conjure Volley*5|Swift Quiver*5,Wis,expertise/Perception|fighting style/Archery|optional hide in plain sight/Hide in Plain Sight|optional primeval awareness/Primeval Awareness|optional favored enemy/Favored Enemy|optional natural explorer/Canny,Canada,CA,,,,Kenku,Fog Cloud*1|Absorb Elements*1|Speak with Animals*1|Hunter's Mark*1|Beast Sense*2|Find Traps*2|Locate Object*2|Conjure Animals*3|Flame Arrows*3|Lightning Arrow*3|Freedom of Movement*4|Stoneskin*4|Grasping Vine*4|Conjure Volley*5|Swift Quiver*5,Dagger|Dagger|Longbow,compassionate_mclaren
6691aff0c5cd51f76e4a660b9fa28e39,Air Genasi,Outlander,2022-08-16T16:25:22Z,Ranger 16,Ranger,Fey Wanderer,16,,151,17,10,20,14,9,19,10,,Athletics|Stealth|Animal Handling|Perception|Survival|Persuasion,Shortsword|Longbow,Speak with Animals*1|Charm Person*1|Beast Sense*2|Misty Step*2|Speak with Plants*3|Dispel Magic*3|Locate Creature*4|Dimension Door*4,Wis,optional hide in plain sight/Primal Awareness|fighting style/Archery|optional primeval awareness/Primal Awareness|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer,United States,US,,,,Genasi,Speak with Animals*1|Charm Person*1|Beast Sense*2|Misty Step*2|Speak with Plants*3|Dispel Magic*3|Locate Creature*4|Dimension Door*4,Shortsword|Longbow,recursing_panini
ca71d7d9ce29951941122987c91e31d4,Kobold,Urban Bounty Hunter,2022-08-13T00:20:38Z,Ranger 3,Ranger,Drakewarden,3,,32,16,9,19,14,11,16,14,,Athletics|Stealth|Animal Handling|Perception|Persuasion,Shortsword|Longbow,Speak with Animals*1,Wis,fighting style/Archery|optional favored enemy/Favored Foe|expertise/Stealth|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,Australia,AU,,,,Kobold,Speak with Animals*1,Shortsword|Longbow,boring_leavitt
3ea2d97e8f75616cc81dff8e2ce0e4b4,Half-Elf,Hermit,2022-08-12T21:21:56Z,Ranger 1,Ranger,,1,,12,14,13,16,14,10,13,10,,Stealth|Nature|Religion|Animal Handling|Medicine|Survival|Persuasion,Shortsword|Longbow,,Wis,optional favored enemy/Favored Enemy|optional natural explorer/Natural Explorer,Canada,CA,,,,Half-Elf,,Shortsword|Longbow,hungry_cray
1467eae3142f9fba4a0629d80865171a,Mountain Dwarf,Noble,2022-08-10T19:55:22Z,Ranger 8,Ranger,Gloom Stalker,8,Ritual Caster|Squat Nimbleness,92,22,20,17,20,10,16,14,,Athletics|Stealth|History|Investigation|Nature|Survival|Persuasion,"Dwarven Axe|Crossbow, heavy",Disguise Self*1|Good Berry*1|Ensaring STRIKE*1|Hunters Mark*1|Zephr Strike*1|Rope Trick*2|Enhance Ability*2|Healing Spirit*2,Wis,fighting style/Dueling|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer|optional primeval awareness/Primeval Awareness,Canada,CA,,,,Dwarf,Disguise Self*1|Goodberry*1|Ensnaring Strike*1|Hunter's Mark*1|Zephyr Strike*1|Rope Trick*2|Enhance Ability*2|Healing Spirit*2,"|Crossbow, Heavy",naughty_pare
2d41bfc98c8b84ce27f30877e2095a35,Mountain Dwarf,Custom,2022-08-10T15:27:42Z,Ranger 1,Ranger,,1,,12,15,15,13,15,12,12,12,,Acrobatics|Stealth|Nature|Animal Handling,Shortsword|Longbow,,Wis,optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer,United States,US,,,,Dwarf,,Shortsword|Longbow,magical_tereshkova
87149bcfc7d75db4147dd96bea72380e,Ghastly Halfling,Criminal,2022-08-08T04:03:25Z,Ranger 6,Ranger,Gloom Stalker,6,Gunner,58,17,8,20,16,11,14,12,,Stealth|Animal Handling|Insight|Perception|Deception,Machete|Remington 1873|Revolver|Bowie Knife,Speak with Animals*1|Disguise Self*1|Hunters Mark *1|Heal Wounds *1|Beast Sense*2|Rope Trick*2|Pass Without Trace *2|Spike Growth*2,Wis,fighting style/Archery|optional favored enemy/Favored Foe|expertise/Stealth|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,Canada,CA,,,,Halfling,Speak with Animals*1|Disguise Self*1|Hunter's Mark*1|Cure Wounds*1|Beast Sense*2|Rope Trick*2|Pass Without Trace*2|Spike Growth*2,|||,crazy_shtern
4b1de2c5b7de5ffe7f44daac980ac6dc,Dark Elf,Criminal,2022-08-07T14:56:19Z,Ranger 3,Ranger,Gloom Stalker,3,,29,16,12,19,13,7,15,11,,Stealth|Animal Handling|Insight|Perception|Survival|Deception,Shortsword|Longbow,Speak with Animals*1|Disguise Self*1|Cure Wounds*1,Wis,fighting style/Archery|optional favored enemy/Favored Foe|expertise/Stealth|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,United States,US,,,,Elf,Speak with Animals*1|Disguise Self*1|Cure Wounds*1,Shortsword|Longbow,sad_taussig
279367c23f3bf596dbd31b1a60e97d54,Tiefling,Fisher,2022-08-04T04:08:14Z,Ranger 2,Ranger,,2,,18,12,15,14,13,9,12,12,,History|Perception|Survival,Handaxe|Mace|Longbow,Flame Edged Bolts*0|Cordon Of Arrows*1|Summon Beast*1|Goodberry*1,Wis,tiefling variants menu/Devil's Tongue|expertise/Survival|fighting style/Two-Weapon Fighting|optional favored enemy/Favored Enemy|optional natural explorer/Canny,Canada,CA,,,,Tiefling,Fire Bolt*0|*|*|Goodberry*1,Handaxe|Mace|Longbow,zealous_swanson
afe6f75071a5ac0ec9ea8ef26bd20db3,Leonine,Outlander,2022-08-03T03:22:02Z,Ranger 4,Ranger,Beast Master,4,,36,16,15,17,14,10,13,8,,Athletics|Stealth|Nature|Animal Handling|Perception|Survival,Shortsword|Longbow,Speak with Animals*1,Wis,fighting style/Archery|optional favored enemy/Favored Enemy|optional natural explorer/Natural Explorer|optional primeval awareness/Primal Awareness,United States,US,,,,Leonin,Speak with Animals*1,Shortsword|Longbow,sweet_burnell
1cec2e2a9ef4df1fbce2b06e1448ad9f,Human,Athlete,2022-08-02T04:12:22Z,Ranger 1,Ranger,,1,Sharpshooter,12,15,12,16,14,8,10,14,,Athletics|Acrobatics|Stealth|Nature|Perception|Survival,Dagger|Handaxe|Longbow,,Wis,optional favored enemy/Favored Foe|expertise/Survival|optional natural explorer/Canny,United States,US,,,,Human,,Dagger|Handaxe|Longbow,eager_hypatia
7195cec3f38343ceed6ff0a7a695ad5f,Lineage - Glas,Outlander,2022-07-31T06:33:31Z,Ranger 1,Ranger,,1,,12,15,13,18,15,14,14,12,,Athletics|Nature|Animal Handling|Perception|Survival,Shortsword|Longbow,,Wis,optional favored enemy/Favored Enemy|optional natural explorer/Natural Explorer,Italy,IT,,,,Tiefling,,Shortsword|Longbow,unruffled_ramanujan
0615c1e10c9fc9d82cd0142275c6ba5a,Goblin,Outlander,2022-07-30T09:02:45Z,Ranger 2,Ranger,,2,,18,16,13,17,12,10,15,8,,Athletics|Stealth|Nature|Animal Handling|Survival,Shortsword|Longbow,Hail Of Thorns*1|Goodberry*1,Wis,fighting style/Archery|optional natural explorer/Natural Explorer|optional favored enemy/Favored Enemy,Canada,CA,,,,Goblin,Hail of Thorns*1|Goodberry*1,Shortsword|Longbow,xenodochial_diffie
81f40d40a973a695b7629a7085c54e0a,Minotaur,Urban Bounty Hunter,2022-07-28T15:22:48Z,Ranger 1,Ranger,,1,,12,15,16,13,14,9,13,12,,Athletics|Stealth|Investigation|Insight|Deception|Intimidation,"Handaxe|Handaxe|Double scimitar|Crossbow, heavy|Net|Pike|Longbow",,Wis,optional favored enemy/Favored Enemy|expertise/Athletics|optional natural explorer/Canny,Canada,CA,,,,Minotaur,,"Handaxe|Handaxe|Scimitar|Crossbow, Heavy|Net|Pike|Longbow",friendly_clarke
1dbd490e33d18c49a63cfa2b120461b6,Kenku,Knight,2022-07-25T23:56:15Z,Ranger 5,Ranger,Gloom Stalker,5,,45,16,13,18,14,12,11,9,,Acrobatics|Stealth|Investigation|Nature|Animal Handling|Survival|Persuasion,Shortsword|Longbow,Disguise Self*1|Rope Trick*2,Wis,fighting style/Archery|optional favored enemy/Favored Foe|expertise/Survival|optional natural explorer/Canny|optional primeval awareness/Primeval Awareness,United States,US,,,,Kenku,Disguise Self*1|Rope Trick*2,Shortsword|Longbow,quizzical_ride
76b8537c7f677d7b83b3db6c12656362,Birdfolk,Sailor,2022-07-16T19:15:46Z,Ranger 3,Ranger,Fey Wanderer,3,,28,14,8,16,14,10,16,10,,Acrobatics|Stealth|Investigation|Animal Handling|Perception|Survival,Shortsword|Longbow,Charm Person*1,Wis,fighting style/Archery|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer|optional primeval awareness/Primeval Awareness,Ecuador,EC,,,,Aarakocra,Charm Person*1,Shortsword|Longbow,quirky_tereshkova
2df9ebeb1e1a0fe43222f2ca8698aea3,Human,Folk Hero,2022-07-06T14:01:15Z,Ranger 3,Ranger,Gloom Stalker,3,Sharpshooter,30,16,8,16,14,10,16,8,,Acrobatics|Stealth|Investigation|Animal Handling|Perception|Survival,Shortsword|Longbow,Speak with Animals*1|Disguise Self*1|Goodberry*1,Wis,fighting style/Archery|optional favored enemy/Favored Foe|expertise/Perception|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,,,,,,Human,Speak with Animals*1|Disguise Self*1|Goodberry*1,Shortsword|Longbow,goofy_swartz
02abb59073134781bd5a4f29b124221d,Shadow Elf,Custom,2022-07-02T00:24:49Z,Ranger 5,Ranger,Gloom Stalker,5,,44,15,12,20,15,14,15,8,,Stealth|Nature|Animal Handling|Insight|Perception|Survival,Shortsword|Longbow,Speak with Animals*1|Disguise Self*1|Beast Sense*2|Rope Trick*2,Wis,fighting style/Archery|optional primeval awareness/Primal Awareness|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer,,,,,,Elf,Speak with Animals*1|Disguise Self*1|Beast Sense*2|Rope Trick*2,Shortsword|Longbow,quizzical_wiles
609b1a7fc859da64ae511ca5bfff7645,Kenku,Outlander,2022-06-29T03:57:41Z,Ranger 1,Ranger,,1,,11,16,13,17,12,10,15,8,,Athletics|Sleight of Hand|Stealth|Investigation|Nature|Animal Handling|Survival,Shortsword|Longbow,,Wis,optional natural explorer/Natural Explorer|optional favored enemy/Favored Foe,Canada,CA,,,,Kenku,,Shortsword|Longbow,ecstatic_wescoff
306854ed4f8b449c81b9cd73c0fdebd6,Eladrin ToF,Custom,2022-06-25T21:47:50Z,Ranger 3,Ranger,Gloom Stalker,3,,27,11,14,12,14,14,13,9,Chaotic Neutral ,Stealth|Investigation|Nature|Animal Handling|Perception|Survival,Dagger|Sickle|Longbow,Hail Of Thorns*1|Hunter's Mark*1|Disguise Self*1,Wis,fighting style/Archery,Canada,CA,CN,,,Eladrin,Hail of Thorns*1|Hunter's Mark*1|Disguise Self*1,Dagger|Sickle|Longbow,elated_mclaren
c9ed4c7462c9d2a53693383e130c38ee,Wood Elf,Far Traveler,2022-06-22T19:21:28Z,Ranger 3,Ranger,Beast Master,3,,21,13,8,16,13,10,16,12,,Nature|Animal Handling|Insight|Perception|Survival,Dagger|Dagger|Longbow,,Wis,expertise/Survival|fighting style/Archery|optional primeval awareness/Primeval Awareness|optional favored enemy/Favored Enemy|optional natural explorer/Canny,,,,,,Elf,,Dagger|Dagger|Longbow,lucid_heisenberg
fbc70ae2fb270bdcb04ac306daef144f,Goliath,Haunted One,2022-06-20T02:01:16Z,Ranger 1,Ranger,,1,,13,16,10,15,16,10,14,8,NG,Athletics|Stealth|Investigation|Nature|Perception|Survival,Shortsword|Longbow,,Wis,optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer,,,NG,,,Goliath,,Shortsword|Longbow,bold_faraday
aa062834067e6c12ee172c29710b9172,Satyr,Haunted One,2022-06-08T03:55:24Z,Ranger 15,Ranger,Swarmkeeper,15,,140,16,12,20,14,10,20,16,,Investigation|Nature|Animal Handling|Survival|Performance|Persuasion,,C: Speak with Animals*1|S: Faerie Fire*1|C: Beast Sense*2|S: Web*2|C: Speak with Plants*3|S: Gaseous Form*3|C: Locate Creature*4|S: Arcane Eye*4,Wis,optional hide in plain sight/Primal Awareness|fighting style/Dueling|optional favored enemy/Favored Foe|expertise/Animal Handling|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,United States,US,,,,Satyr,Speak with Animals*1|Faerie Fire*1|Beast Sense*2|Web*2|Speak with Plants*3|Gaseous Form*3|Locate Creature*4|Arcane Eye*4,,epic_maxwell
1557da6e0e99c0c60062c471b4f6da7e,Wood Elf,Fisher,2022-05-30T13:32:37Z,Ranger 5,Ranger,Drakewarden,5,,34,14,12,18,10,14,15,14,,Stealth|History|Nature|Animal Handling|Perception|Survival,Shortsword|Longbow,,Wis,fighting style/Archery|optional primeval awareness/Primeval Awareness|optional favored enemy/Favored Foe|optional natural explorer/Natural Explorer,United States,US,,,,Elf,,Shortsword|Longbow,pensive_heyrovsky
709806944c0e611d1498a8d0ccc36ea4,Human,Outlander,2022-05-29T01:29:58Z,Ranger 1,Ranger,,1,Alert,13,16,8,16,16,13,12,8,,Athletics|Stealth|Nature|Insight|Perception|Survival,Shortsword|Longbow,,Wis,optional favored enemy/Favored Enemy|optional natural explorer/Natural Explorer,United States,US,,,,Human,,Shortsword|Longbow,silly_herschel
3e0e9aefa372dfcaf6e50adeadb03f9a,Fairy,Entertainer,2022-05-26T02:40:57Z,Ranger 3,Ranger,Fey Wanderer,3,,36,15,9,18,14,11,12,13,,Acrobatics|Investigation|Nature|Animal Handling|Deception|Performance,Shortsword|Longbow,Speak with Animals*1|Charm Person*1,Wis,fighting style/Druidic Warrior|optional favored enemy/Favored Enemy|expertise/Investigation|optional natural explorer/Canny|optional primeval awareness/Primal Awareness,United States,US,,,,,Speak with Animals*1|Charm Person*1,Shortsword|Longbow,objective_aryabhata
fc9725ff1ec65672493a246323f46cd7,Half-Elf,Clan Crafter,2022-05-21T20:26:08Z,Ranger 1,Ranger,,1,,12,14,12,16,14,8,14,12,,Stealth|History|Investigation|Nature|Insight|Perception|Survival,Handaxe|Longbow,,Wis,,United States,US,,,,Half-Elf,,Handaxe|Longbow,stoic_einstein
12f63a71d226258a153e49f29cdc16be,Wood Elf,Folk Hero,2022-05-09T00:48:06Z,Ranger 1,Ranger,,1,,7,16,10,17,12,14,14,8,,Athletics|Nature|Animal Handling|Insight|Perception|Survival,Shortsword|Longbow,,Wis,optional favored enemy/Favored Enemy|expertise/Athletics|optional natural explorer/Canny,United States,US,,,,Elf,,Shortsword|Longbow,dreamy_greider
