hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
fa6e60a214d587a0097d4fc207e0d0c1,Changeling,Haunted One,2022-08-21T19:05:38Z,Rogue 4,Rogue,Thief,4,Telepathic,35,13,9,17,13,17,10,11,Chaotic N,Athletics|Stealth|Arcana|Insight|Perception|Survival|Deception|Persuasion,Rapier|Shortbow|Dagger|Returning Dagger,Minor Illusion*0,Int,expertise/Stealth*Athletics,Canada,CA,CN,,,Changeling,Minor Illusion*0,Rapier|Shortbow|Dagger|Dagger,nostalgic_boyd
092b6fcff43c39e06f43ddf4f75ed2d9,Earth Genasi,Smuggler,2022-08-16T16:22:33Z,Rogue 16,Rogue,Swashbuckler,16,Piercer|Alert,157,17,10,20,16,14,10,12,,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception,"Rapier|Shortbow|Dagger|Crossbow, Heavy",,Int,expertise/Stealth*Sleight of Hand*Perception*Acrobatics,United States,US,,,,Genasi,,"Rapier|Shortbow|Dagger|Crossbow, Heavy",blissful_tharp
776dbbf3846d4a0c89cba4e072bce122,Warforged,Mercenary Veteran,2022-08-06T16:49:01Z,Rogue 3,Rogue,Assassin,3,,24,14,9,16,16,12,7,11,,Athletics|Acrobatics|Sleight of Hand|Perception|Persuasion,War Fan|War Fan|Dagger,,Int,expertise/Sleight of Hand*Perception,Canada,CA,,,,Warforged,,||Dagger,youthful_faraday
093a5dd17e7c623cc582d42eea17c8e8,Tabaxi,Sailor,2022-08-06T03:07:20Z,Rogue 5,Rogue,Swashbuckler,5,Dual Wielder,39,16,11,18,15,14,10,18,,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Performance|Persuasion,Rapier|Rapier|Dagger|Shortbow,,Int,expertise/Thieves' Tools*Sleight of Hand,United States,US,,,,Tabaxi,,Rapier|Rapier|Dagger|Shortbow,loving_turing
8e05cfd50839a5805a5340bc3219dc43,Dark Elf,Urchin,2022-08-03T02:20:49Z,Rogue 4,Rogue,Arcane Trickster,4,,23,15,12,19,11,14,13,11,,Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Sleight of Hand,United States,US,,,,Elf,,Rapier|Shortbow|Dagger,condescending_fermat
c7c8c45e31e14969293583402b33b3ff,Human,Urchin,2022-08-02T04:13:43Z,Rogue 1,Rogue,,1,Mobile,10,14,8,16,14,12,10,13,,Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,United States,US,,,,Human,,Rapier|Shortbow|Dagger,dazzling_franklin
7381323a094edcec621734cfb0394cc6,Lightfoot Halfling,Sailor,2022-08-01T17:43:49Z,Rogue 4,Rogue,Swashbuckler,4,,35,15,12,20,16,13,13,14,,Athletics|Sleight of Hand|Stealth|Insight|Perception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Insight,United States,US,,,,Halfling,,Rapier|Shortbow|Dagger,priceless_curran
f8951f167a3e07c23c33ae2baff95222,Tabaxi,Violent Assassin,2022-08-01T03:07:34Z,Rogue 1,Rogue,,1,,7,13,17,17,9,10,13,19,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Shortsword|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,Canada,CA,,,,Tabaxi,,Shortsword|Shortbow|Dagger,unruffled_sanderson
31a73049697950b949555cfe10e5ceb9,Harefolk,Urchin,2022-07-31T21:24:39Z,Rogue 1,Rogue,,1,,10,15,12,18,15,16,14,17,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Performance,Shortsword|Shortsword|Dagger,,Int,expertise/Stealth*Acrobatics,Canada,CA,,,,,,Shortsword|Shortsword|Dagger,awesome_chandrasekhar
26844ff56b1ca561a715e60ec49e7206,Human,Urchin,2022-07-31T06:39:39Z,Rogue 1,Rogue,,1,Lucky,9,14,10,16,13,12,10,16,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Performance,Shortsword|Shortbow|Dagger,,Int,expertise/Sleight of Hand*Deception,Italy,IT,,,,Human,,Shortsword|Shortbow|Dagger,hopeful_austin
edebfe811411869335ad08611a2a80bd,High Elf,Urchin,2022-07-28T21:09:25Z,Rogue 3,Rogue,Assassin,3,,24,14,11,17,14,16,10,10,Chaotic Good,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,Booming Blade*0,Int,expertise/Stealth*Perception,United States,US,CG,,,Elf,Booming Blade*0,Rapier|Shortbow|Dagger,mystifying_newton
c1b498f677f8f59e0c9bd352f764133b,Goblin,Faction Agent,2022-07-22T20:02:16Z,Rogue 8,Rogue,Assassin,8,Piercer|Dual Wielder,67,17,13,20,17,14,12,16,,Athletics|Sleight of Hand|Stealth|Investigation|Insight|Perception,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth*Sleight of Hand*Perception,Canada,CA,,,,Goblin,,Rapier|Shortbow|Dagger,angry_perlman
95f59de2bc5a102fdc6dd282fa4681d1,Custom,Criminal,2022-07-22T17:20:55Z,Rogue 5,Rogue,Assassin,5,Dual Wielder,45,17,14,20,16,10,11,14,,Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion,Rapier|Rapier,,Int,custom lineage variable trait/Skill|expertise/Thieves' Tools*Perception,Canada,CA,,,,Custom,,Rapier|Rapier,hopeful_mayer
1acb25f833f7bbe1ff4adcaeb8433dbf,Mountain Dwarf,Smuggler,2022-07-17T12:06:56Z,Rogue 4,Rogue,Phantom,4,,27,16,12,16,12,10,14,14,,Athletics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion,"Spelldrawn Shortsword|Shortbow|Dagger|Rapier|Crossbow, hand|SPELLDRAWN|SPELLDRAWN THROW",,Int,expertise/Stealth*Deception,Germany,DE,,,,Dwarf,,"Shortsword|Shortbow|Dagger|Rapier|Crossbow, hand||",cool_mendeleev
4884781ba7466226f21c672be0e989ab,Wooden Puppet,Investigator,2022-07-16T17:25:14Z,Rogue 4,Rogue,Inquisitive,4,Observant,32,15,8,14,12,14,16,12,,Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Investigation*Insight,Canada,CA,,,,,,Rapier|Shortbow|Dagger,recursing_vaughan
