hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
b19d74c92eb490aeffb61aea3dee7731,Human,Sage,2019-10-13T04:10:48Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,War Caster,9,14,10,12,14,10,13,16,,Arcana|History|Religion|Insight|Perception,"Crossbow, light|Dagger",,Cha,,United States,US,,,,Human,,"Crossbow, Light|Dagger",affectionate_wilson
79d3a15571ad28758089349a9e6e55d3,Dragonborn,Soldier,2019-10-09T21:18:10Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,8,15,10,14,13,12,10,16,,Athletics|Intimidation,Dagger,,Cha,,,,,,,Dragonborn,,Dagger,distracted_goodall
1b879b05864ee5cf56e926dda25963c1,Half-Elf,Far Traveler,2019-10-09T21:15:06Z,Sorcerer 1,Sorcerer,Wild Magic,1,,8,12,8,15,14,13,12,12,,Nature|Insight|Medicine|Perception,Dagger,,Cha,,,,,,,Half-Elf,,Dagger,jolly_wozniak
293fd7fd54ca4d34cc39b081083e0cd9,Dragonborn,Outlander,2019-10-07T20:03:24Z,Sorcerer 1,Sorcerer,Wild Magic,1,,6,11,15,12,14,10,8,16,,Athletics|Arcana|Survival|Persuasion,Light hammer|Dagger,,Cha,,,,,,,Dragonborn,,Light hammer|Dagger,sad_wright
a26d8cc84508800f4a065e5ff817b7d8,Sea Elf,Sage,2019-10-07T19:50:00Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,7,15,13,14,15,10,8,15,,Arcana|History|Insight|Perception|Persuasion,"Crossbow, light|Dagger",,Cha,,,,,,,Elf,,"Crossbow, Light|Dagger",compassionate_ride
18a6384182be0281b4907d7c9958d500,Tiefling,Haunted One,2019-09-15T13:46:07Z,Sorcerer 1,Sorcerer,Storm Sorcery,1,,7,12,15,14,13,13,10,10,,Arcana|Investigation|Deception|Persuasion,Javelin|Dagger,,Cha,,United States,US,,,,Tiefling,,Javelin|Dagger,sharp_ellis
520f1e74d6356524c5ea6a48f5500e6d,Protector Aasimar,Noble,2019-09-03T14:19:10Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,11,10,12,14,13,9,17,,History|Insight|Intimidation|Persuasion,Dagger,Cure Wounds*1,Cha,,,,,,,Aasimar,Cure Wounds*1,Dagger,infallible_swartz
5f7d8332369bd0a82b9f124d38e79e7a,Dark Elf,Hermit,2019-10-02T14:37:52Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,7,12,8,15,12,14,10,16,True Neutral,Arcana|History|Perception|Deception|Performance,"Dagger|Crossbow, Light",Dancing Lights*0|Shocking Grasp*0|Ray Of Frost*0|Minor Illusion*0|Mage Hand*0|Thunderwave*1|False Life*1,Cha,,United States,US,NN,,,Elf,Dancing Lights*0|Shocking Grasp*0|Ray of Frost*0|Minor Illusion*0|Mage Hand*0|Thunderwave*1|False Life*1,"Dagger|Crossbow, Light",pedantic_meninsky
6ac7ca152431d1f24d0d201faeacd730,Human,Acolyte,2019-09-30T01:36:24Z,Sorcerer 1,Sorcerer,Divine Soul,1,War Caster,6,12,8,15,10,8,16,16,,Arcana|Religion|Insight|Deception|Persuasion,Quarterstaff|Dagger,Firebolt*0|Light*0|Shocking grasp*0|Thunderclap*0|Cure Wounds*1|Catapult*1|Magic Missle*1,Cha,,United States,US,,,,Human,Fire Bolt*0|Light*0|Shocking Grasp*0|Thunderclap*0|Cure Wounds*1|Catapult*1|Magic Missile*1,Quarterstaff|Dagger,cool_mayer
108bc084383637ad2f99f3da3e0b0233,Half-Orc,Criminal,2019-11-29T19:51:00Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,8,16,10,16,13,13,13,17,,Stealth|Arcana|Insight|Deception|Intimidation,Dagger,,Cha,,United Kingdom,GB,,,,Half-Orc,,Dagger,objective_gates
ec75f159afa57702e7df29458591d434,,Custom,2021-06-06T13:35:11Z,Sorcerer 1,Sorcerer,Wild Magic,1,,8,12,9,14,15,13,11,16,,Arcana|Investigation|Insight|Persuasion,"Crossbow, light|Dagger",,Cha,,,,,,,,,"Crossbow, Light|Dagger",hardcore_bhaskara
16ef490725f4535ac4e95ded9e5baac4,Human,Urchin,2019-12-08T23:34:57Z,Sorcerer 1,Sorcerer,Shadow Magic,1,Elemental Adept,9,12,12,15,17,9,13,18,chaotic neutral,Sleight of Hand|Stealth|Deception|Intimidation|Persuasion,Dagger|Firebolt|Shocking Grasp,Mage Hand*0|Minor Illusion*0|Fire Bolt*0|Shocking Grasp*0|Shield*1|Mage Armor*1,Cha,,United States,US,CN,,,Human,Mage Hand*0|Minor Illusion*0|Fire Bolt*0|Shocking Grasp*0|Shield*1|Mage Armor*1,Dagger||,infallible_lichterman
1a8ff326e107e251a2b43199a8994324,Lineage - Glas,Noble,2021-05-18T08:31:09Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,8,14,14,12,10,17,,History|Deception|Intimidation|Persuasion,Quarterstaff|Dagger,Ray of Frost*0|Acid Splash*0|Minor Illision*0|Message*0|Chaos Bolt*1|Burning Hands*1,Cha,,Canada,CA,,,,Tiefling,Ray of Frost*0|Acid Splash*0|Minor Illusion*0|Message*0|Chaos Bolt*1|Burning Hands*1,Quarterstaff|Dagger,boring_brattain
8f9d9817279f382356df667d0ae4d5ba,Tiefling,Outlander,2021-06-18T14:22:21Z,Sorcerer 1,Sorcerer,Aberrant Mind,1,,8,13,8,16,14,11,10,15,,Athletics|Arcana|Survival|Intimidation,Dagger,Mind Sliver*0|Arms of Hatred*1|Dissonent Whispers*1,Cha,tiefling variants menu/Winged,United States,US,,,,Tiefling,*|Arms of Hadar*1|Dissonant Whispers*1,Dagger,vigorous_sinoussi
abb799734eeb1c1753cf84e885ec4d28,Half-Elf,Smuggler,2019-11-06T19:35:08Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,13,8,16,15,10,10,16,,Athletics|Stealth|Arcana|Insight|Perception|Deception,"Crossbow, light|Dagger",Cure Wounds*1,Cha,,United States,US,,,,Half-Elf,Cure Wounds*1,"Crossbow, Light|Dagger",agitated_leakey
1fb595bcaa506f6515363a4dbc4544a1,Tiefling,Faction Agent,2019-10-31T02:28:57Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,8,13,12,16,14,12,14,18,,Insight|Deception|Intimidation|Persuasion,Dagger|Dagger,Mage Hand*0|Firebolt*0|Shocking Grasp*0|Prestidigitation*0|Shield*1|Magic Missile*1,Cha,tiefling variants menu/Winged,India,IN,,,,Tiefling,Mage Hand*0|Fire Bolt*0|Shocking Grasp*0|Prestidigitation*0|Shield*1|Magic Missile*1,Dagger|Dagger,hopeful_franklin
ed2e83405918dc1fbaaff97d111a268f,Half-Orc,Haunted One,2019-11-19T17:16:11Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,14,14,14,10,10,14,true neutral,Investigation|Insight|Survival|Deception|Intimidation,Quarterstaff|Dagger,,Cha,,,,NN,,,Half-Orc,,Quarterstaff|Dagger,pedantic_kepler
7164c6f70deb16b0f05801642c268313,Human,Far Traveler,2019-11-13T21:07:41Z,Sorcerer 1,Sorcerer,Wild Magic,1,,10,11,9,13,18,13,12,19,,Arcana|Insight|Perception|Intimidation,Quarterstaff|Dagger,,Cha,,Italy,IT,,,,Human,,Quarterstaff|Dagger,vigorous_volhard
38eb36f5ee8315abd4e2f94a41697a9b,Half-Elf,Sage,2019-07-10T19:54:57Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,9,14,14,14,10,16,CG,Sleight of Hand|Stealth|Arcana|History|Investigation|Persuasion,"Crossbow, light|Dagger",Fire Bolt*0|Shocking Grasp*0|Ray of Frost*0|Acid Splash *0|Magic Missile*1|Detect Magic*1,Cha,,United States,US,CG,,,Half-Elf,Fire Bolt*0|Shocking Grasp*0|Ray of Frost*0|Acid Splash*0|Magic Missile*1|Detect Magic*1,"Crossbow, Light|Dagger",angry_bassi
d7bfc063add9ddacb2a7405e34a8abdf,Lineage - Glas,Charlatan,2019-07-09T13:49:57Z,Sorcerer 1,Sorcerer,Wild Magic,1,,7,11,9,12,13,15,10,19,,Sleight of Hand|Arcana|Deception|Persuasion,Dagger|Fire Bolt|Ray Of Frost|Poison Spray|Shocking Grasp,Minor Illusion*0|Fire Bolt*0|Ray Of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Expeditious Retreat*1,Cha,,United States,US,,,,Tiefling,Minor Illusion*0|Fire Bolt*0|Ray of Frost*0|Poison Spray*0|Shocking Grasp*0|Shield*1|Expeditious Retreat*1,Dagger||||,sweet_kalam
0c48d43e8c2e3412023c9a70c02932df,Tiefling,Guild Artisan,2019-07-20T23:25:12Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,8,11,8,13,15,16,14,20,,Insight|Intimidation|Persuasion,Dagger,,Cha,,,,,,,Tiefling,,Dagger,zen_ardinghelli
9efbc6ae5f04ccd75cbbd4aa82f3c489,Half-Elf,Urban Bounty Hunter,2019-07-19T19:28:45Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,13,8,16,14,10,12,16,Chaotic Good,Stealth|Arcana|Perception|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger",Fire Bolt*0|Mage Hand*0|Minor Illusion*0|Prestidigitation*0|Burning Hands 3d6*1|Cure Wounds 1d8+3*1|Shield +5 to AC*1,Cha,,,,CG,,,Half-Elf,Fire Bolt*0|Mage Hand*0|Minor Illusion*0|Prestidigitation*0|Burning Hands*1|Cure Wounds*1|Shield*1,"Crossbow, Light|Dagger",relaxed_jennings
b1dc5f4764f07901a8441af77fa1558e,Half-Elf,Urchin,2019-07-11T04:00:16Z,Sorcerer 1,Sorcerer,Wild Magic,1,,8,12,8,14,15,10,12,17,,Sleight of Hand|Stealth|Religion|Insight|Deception|Persuasion,Quarterstaff|Dagger,,Cha,,Canada,CA,,,,Half-Elf,,Quarterstaff|Dagger,admiring_hawking
565104e9a3289ff55b5474aaac12a625,Protector Aasimar,Acolyte,2021-10-14T23:15:14Z,Sorcerer 1,Sorcerer,Storm Sorcery,1,,9,12,11,15,16,9,14,20,NG,Arcana|Religion|Insight|Persuasion,"Crossbow, light|Dagger",Fire Bolt *0|Frostbite *0|Mold Earth *0|Prestidigitation*0|Light *0|Chaos Bolt *1|Shield *1,Cha,,United States,US,NG,,,Aasimar,Fire Bolt*0|Frostbite*0|Mold Earth*0|Prestidigitation*0|Light*0|Chaos Bolt*1|Shield*1,"Crossbow, Light|Dagger",wizardly_lamarr
3be8ec5ae418ce22230f2d6906d11adc,Mountain Dwarf,Folk Hero,2019-06-06T16:06:50Z,Sorcerer 1,Sorcerer,Stone,1,,8,16,17,10,16,8,10,14,,Animal Handling|Survival|Intimidation|Persuasion,Dagger,,Cha,,United States,US,,,,Dwarf,,Dagger,eager_nobel
2717540b2eeeb26d82b57e0123634609,Half-Elf,Outlander,2021-10-21T12:48:31Z,Sorcerer 1,Sorcerer,Wild Magic,1,,6,12,12,14,11,9,13,17,,Athletics|Arcana|Perception|Survival|Deception,Handaxe|Dagger,Fire Bolt*0|Prestidigitation*0|Thunderclap*0|Shocking Grasp*0|Burning Hands*1|Disguise Self*1,Cha,,United Kingdom,GB,,,,Half-Elf,Fire Bolt*0|Prestidigitation*0|Thunderclap*0|Shocking Grasp*0|Burning Hands*1|Disguise Self*1,Handaxe|Dagger,pedantic_heyrovsky
d91afa5ce74ae375105b51e7526eb27f,Half-Elf,Noble,2019-06-16T09:17:26Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,8,16,8,16,12,14,10,16,Caótico Neutral,Arcana|History|Investigation|Religion|Deception|Persuasion,"Crossbow, light|Dagger",Prestidigitación*0|Rayo De Escarcha*0|Contacto Electrizante*0|Luz*0|Escudo*1|Proyectil Magico*1,Cha,,Canada,CA,CN,,,Half-Elf,Prestidigitation*0|*|*|*|*|*,"Crossbow, Light|Dagger",zen_newton
a0bc553ba79536f4e5063b798e73512a,Mountain Dwarf,Investigator,2021-10-10T21:17:57Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,11,16,13,15,15,17,17,,Arcana|Investigation|Insight|Persuasion,"Crossbow, light|Dagger",Cure Wounds*1,Cha,,United States,US,,,,Dwarf,Cure Wounds*1,"Crossbow, Light|Dagger",jovial_bardeen
2e775d62f2adc57858189f1cff7e40e8,Dragonborn,Sage,2019-06-10T10:27:38Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,16,15,15,16,16,18,,Arcana|History|Insight|Persuasion,"Crossbow, light|Dagger",Mage Hand*0|Message*0|Prestidigitation*0|Poison Spray*0|Mage Armor*1|Sleep*1,Cha,,Canada,CA,,,,Dragonborn,Mage Hand*0|Message*0|Prestidigitation*0|Poison Spray*0|Mage Armor*1|Sleep*1,"Crossbow, Light|Dagger",cranky_visvesvaraya
8e9c5da39a163a43784a2ced3c70931e,Half-Orc,Acolyte,2019-08-17T16:24:15Z,Sorcerer 1,Sorcerer,Wild Magic,1,,7,11,5,13,12,15,13,18,,Religion|Insight|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger",,Cha,,United Kingdom,GB,,,,Half-Orc,,"Crossbow, Light|Dagger",gifted_fermat
f8e506cf7c52ebe002ac581547bc0260,Dragonborn,Acolyte,2019-08-17T17:43:55Z,Sorcerer 1,Sorcerer,Wild Magic,1,,6,11,15,12,10,9,10,20,,Arcana|Religion|Insight|Persuasion,"Crossbow, light|Dagger",chill touch*0|mending*0|message*0|mage hand*0|magic missile*1|shield*1,Cha,,United Kingdom,GB,,,,Dragonborn,Chill Touch*0|Mending*0|Message*0|Mage Hand*0|Magic Missile*1|Shield*1,"Crossbow, Light|Dagger",nifty_ptolemy
