hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,alias
ce2d0a16a553671ad83c78206c793062,Air Genasi,Sage,2019-10-09T21:16:32Z,Wizard 1,Wizard,,1,,9,10,15,9,16,13,12,10,,Arcana|History,Quarterstaff,,Int,,,,,,,Genasi,,Quarterstaff,charming_cartwright
d22101319919200595361f9cd37438eb,Human,Guild Artisan,2019-10-13T04:12:12Z,Wizard 1,Wizard,,1,War Caster,7,11,10,12,12,16,13,12,,Arcana|History|Investigation|Insight|Persuasion,Quarterstaff,,Int,,United States,US,,,,Human,,Quarterstaff,adoring_heyrovsky
7ef0285e7716c735f54cad51c4126983,Gray Dwarf,Hermit,2019-10-20T03:15:54Z,Wizard 1,Wizard,,1,,8,11,14,13,14,17,14,13,,Arcana|History|Religion|Medicine,Quarterstaff,,Int,,,,,,,Dwarf,,Quarterstaff,happy_pike
09cb8a7734c60746c2b20cdfa9fd8842,Human,Criminal,2019-10-16T19:12:27Z,Wizard 1,Wizard,,1,,9,13,9,16,16,16,9,9,,Stealth|Arcana|Investigation|Deception,Quarterstaff,Control Flames*0|Create Bonfire*0|Fire Bolt*0|Burning Hands*1|Catapult*1|Chromatic Orb*1|Magic Missile*1|Thunderwave*1|Witch Bolt*1,Int,,United States,US,,,,Human,Control Flames*0|Create Bonfire*0|Fire Bolt*0|Burning Hands*1|Catapult*1|Chromatic Orb*1|Magic Missile*1|Thunderwave*1|Witch Bolt*1,Quarterstaff,friendly_wilson
949b785c601e4ce282a3d77d28e53161,Kenku,Urchin,2019-09-14T18:43:53Z,Wizard 1,Wizard,,1,,8,12,10,14,14,16,10,12,chaotic neutral,Acrobatics|Sleight of Hand|Stealth|Arcana|Investigation|Deception,Dagger,Minor Illusion*0|Ray Of Frost*0|Mage Hand*0|Mage Armour*1|Fog Cloud*1|Sleep*1|Find Familiar*1|Silent Image*1|Detect Magic*1,Int,,United Kingdom,GB,CN,,,Kenku,Minor Illusion*0|Ray of Frost*0|Mage Hand*0|Mage Armor*1|Fog Cloud*1|Sleep*1|Find Familiar*1|Silent Image*1|Detect Magic*1,Dagger,ecstatic_morse
ba05fc76c95566a256fae927a06c223c,High Elf,Sailor,2019-09-25T15:08:03Z,Wizard 1,Wizard,,1,,7,10,6,11,13,16,16,16,,Athletics|Arcana|Investigation|Perception,Quarterstaff,,Int,,Netherlands,NL,,,,Elf,,Quarterstaff,cocky_neumann
abc260abbc24797ab0007f98fa258659,Mountain Dwarf,Guild Artisan,2021-07-18T00:32:29Z,Wizard 1,Wizard,,1,,8,13,14,14,15,15,10,8,LN,Athletics|Arcana|History|Investigation,Battleaxe|Sling,Mage Hand*0|Dancing Lights*0|Chill Touch*0|Comprehend Languages(R)*1|Find Familiar (R)*1|Burning Hands*1|Shield*1|Grease*1|Detect Magic (R)*1,Int,,United States,US,LN,,,Dwarf,Mage Hand*0|Dancing Lights*0|Chill Touch*0|Comprehend Languages*1|Find Familiar*1|Burning Hands*1|Shield*1|Grease*1|Detect Magic*1,Battleaxe|Sling,bold_heyrovsky
cbfe466b3991679d561a398405ee7d63,Forest Gnome,Entertainer,2021-07-24T00:36:02Z,Wizard 1,Wizard,,1,,6,12,13,15,10,17,12,8,,Acrobatics|Arcana|History|Performance,Quarterstaff,,Int,,Canada,CA,,,,Gnome,,Quarterstaff,pedantic_mendel
eb4794a6b0452a533cd2309ff9dcf73c,Half-Elf,Soldier,2019-09-30T22:30:51Z,Wizard 1,Wizard,,1,,8,11,8,12,14,16,10,16,,Arcana|History|Animal Handling|Medicine|Perception|Persuasion,Quarterstaff,,Int,,Canada,CA,,,,Half-Elf,,Quarterstaff,fervent_shockley
0a0de3d5a380bcd39d00f25e7bb4b3e9,Human,Sage,2021-07-24T15:26:10Z,Wizard 1,Wizard,,1,,8,12,9,14,15,16,13,11,,Arcana|History|Investigation|Insight,Quarterstaff,Mage Hand*0|Firebolt*0|Create Bonfire*0|Magic Missle*1|Snare*1|Tasha Caustic Brew*1|Tasha Hideous Laughter*1|Magnify Gravity*1|Burning Hands*1,Int,,,,,,,Human,Mage Hand*0|Fire Bolt*0|Create Bonfire*0|Magic Missile*1|Snare*1|*|Tasha's Hideous Laughter*1|*|Burning Hands*1,Quarterstaff,compassionate_blackwell
