hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,alias
39120628a1dd2c6beb5674bd639669c1,Human,Soldier,2021-07-17T15:14:44Z,Fighter 1,Fighter,,1,Polearm Master,13,16,17,16,17,9,12,10,,Athletics|Acrobatics|Perception|Intimidation,Glaive|Javelin|Spear,,Int,fighting style/Great Weapon Fighting,United States,US,cranky_chaplygin
d8a73467c24f44ec5c4c4e6ce7d19054,Mountain Dwarf,Soldier,2019-10-13T04:11:15Z,Fighter 1,Fighter,,1,,13,19,16,12,16,10,13,10,,Athletics|History|Survival|Intimidation,"Battleaxe|Crossbow, light",,Int,fighting style/Defense,United States,US,heuristic_agnesi
dd04eb7ac3af2af1a8b7e92f8cf2906b,Human,Sailor,2019-10-12T20:04:50Z,Fighter 1,Fighter,,1,Sharpshooter,11,14,8,16,13,10,15,12,,Athletics|Insight|Perception|Survival,"Longbow|Crossbow, light",,Int,fighting style/Archery,United States,US,vigorous_mcclintock
8ffd803a3f1c19ed5c561642e76fbf65,Variant,Criminal,2019-10-09T21:17:40Z,Fighter 1,Fighter,,1,,11,12,15,14,13,12,8,12,,Stealth|Deception,,,Int,fighting style/Two-Weapon Fighting,,,gracious_elgamal
a079618b266825e097411ac7133add19,Lightfoot Halfling,Athlete,2021-07-17T01:14:59Z,Fighter 1,Fighter,,1,,15,18,16,18,17,13,14,15,,Athletics|Acrobatics|Insight|Perception,Rapier|Lance,,Int,fighting style/Dueling,United States,US,practical_mirzakhani
135fb1a65744756aacf275fd706b542b,Dragonborn,Guild Artisan,2019-09-28T18:40:18Z,Fighter 1,Fighter,,1,,12,18,18,15,14,11,11,10,,History|Insight|Intimidation|Persuasion,"Trident|Crossbow, light",,Int,fighting style/Dueling,United Kingdom,GB,trusting_jones
89a9bad11c87efec68c9869cf64ffb5d,Human,Noble,2019-10-16T19:13:20Z,Fighter 1,Fighter,,1,,12,19,16,12,14,12,11,14,,Athletics|History|Animal Handling|Persuasion,Greatsword,,Int,fighting style/Defense,United States,US,zen_wozniak
137be1db0d9d2b1fb5777a52a6982d4c,Human,Soldier,2019-09-15T22:18:02Z,Fighter 1,Fighter,,1,Polearm Master,14,18,19,14,18,12,14,14,,Athletics|Animal Handling|Perception|Survival|Intimidation,Spear|Longsword,,Int,fighting style/Dueling,Sweden,SE,distracted_solomon
d03b18ab385ec6e3bd858b7608dcc288,Warforged,Far Traveler,2021-08-01T05:21:41Z,Fighter 1,Fighter,,1,,10,17,16,14,14,10,13,8,Neutral,Acrobatics|Investigation|Insight|Perception|Survival,"Longsword|Crossbow, light",,Int,fighting style/Archery,Canada,CA,nostalgic_goldstine
df16fdf72bb7fceeea4cc3363b2ec0ab,Human,Knight,2019-09-13T03:38:54Z,Fighter 1,Fighter,,1,,13,19,19,16,16,12,15,14,Neutral Good,History|Insight|Perception|Persuasion,"Longsword|Dagger|Crossbow, light",,Int,fighting style/Defense,,,ecstatic_moser
6ea2c17a36da68ef13a546a6481724ad,Minotaur,Urban Bounty Hunter,2021-08-06T23:52:17Z,Fighter 1,Fighter,,1,,13,18,13,17,17,8,14,10,CN,Stealth|Insight|Survival|Deception|Intimidation,"Greataxe|Crossbow, light",,Int,fighting style/Great Weapon Fighting,,,boring_rosalind
ed06800e141833c7a00cc681bc5c7d1c,Dragonborn,Knight,2019-09-07T22:47:07Z,Fighter 1,Fighter,,1,,12,12,16,14,15,9,12,14,,Athletics|Arcana|Perception|Persuasion,Greatsword,,Int,fighting style/Great Weapon Fighting,United States,US,reverent_cohen
84d0a527c5584c851d823c9fa3ffc176,Wood Elf,Tribe Member,2019-09-25T19:03:34Z,Fighter 1,Fighter,,1,,10,13,12,15,11,10,12,10,,Athletics|Acrobatics|Insight|Perception|Survival,Bow|Blade,,Int,fighting style/Archery,United Kingdom,GB,peaceful_maxwell
3bf7bb7b00cb832f34e011bfdcc30eb0,Tabaxi,Tribe Member,2019-09-25T19:06:57Z,Fighter 1,Fighter,,1,,12,15,18,18,15,13,14,11,,Athletics|Stealth|Animal Handling|Perception|Survival|Intimidation,R. Spear (Throw) |R. Spear (Melee) ,,Int,fighting style/Archery,United Kingdom,GB,focused_kepler
