hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,alias
95925a9b5594a995fa2e513893b4bd58,Lightfoot Halfling,Folk Hero,2019-10-13T04:09:23Z,Rogue 1,Rogue,,1,,9,14,10,16,12,10,14,14,,Sleight of Hand|Stealth|Animal Handling|Insight|Survival|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,United States,US,epic_rhodes
c59f4df6686d170f513ad289f914ee73,Half-Elf,Entertainer,2021-07-17T00:41:29Z,Rogue 1,Rogue,,1,,8,14,8,16,10,13,13,16,,Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Deception|Performance|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Sleight of Hand,United States,US,eager_morse
21c7153166c8ca1a84bf162fc57780f3,Lightfoot Halfling,Outlander,2019-10-20T03:22:00Z,Rogue 1,Rogue,,1,,7,11,11,12,9,17,16,11,,Athletics|Acrobatics|Sleight of Hand|Stealth|Survival|Deception,Rapier|Shortsword|Dagger,,Int,expertise/Stealth*Athletics,United States,US,stoic_pascal
61a65602d785d1580ad01cbfefb61763,Lightfoot Halfling,Knight,2019-10-20T00:51:44Z,Rogue 1,Rogue,,1,,7,11,13,13,10,13,13,15,,Stealth|Arcana|Investigation|Perception|Deception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Perception,Canada,CA,admiring_engelbart
2d9afe0d488afb484b666e9d2ee37e5f,Staemmige,Volksheldin,2019-10-06T08:14:36Z,Rogue 1,Rogue,,1,,10,15,12,16,14,12,12,11,NG,Acrobatics|Sleight of Hand|Stealth|Animal Handling|Perception|Survival,Shortsword|Shortbow|Dagger,,Int,expertise/Stealth*Sleight of Hand,,,hardcore_hamilton
8bdb5cfc559146777e10c89d3ea45b84,Human,Criminal,2019-10-14T10:01:01Z,Rogue 1,Rogue,,1,,10,13,11,16,15,10,12,14,True Neutral,Acrobatics|Stealth|Deception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Stealth,,,epic_bartik
9a708d34f1e103a29a8e560f22e8c393,Goblin,Criminal,2021-06-25T22:42:16Z,Rogue 1,Rogue,,1,,10,15,12,18,14,15,14,10,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception,Shortsword|Shortbow|Dagger,,Int,expertise/Stealth*Perception,,,hungry_albattani
2552c28a1737350e5a0f8d6ff2c52d22,Wood Elf,Far Traveler,2019-09-23T11:58:58Z,Rogue 1,Rogue,,1,,11,16,20,20,16,14,15,14,,Athletics|Acrobatics|Stealth|Insight|Perception|Deception,Shortsword|Shortbow|Dagger,,Int,expertise/Thieves' Tools*Perception,United Kingdom,GB,stupefied_merkle
a87b81837a02b18816e82f73b4c33b52,Yuan-Ti,Charlatan,2021-07-29T01:06:38Z,Rogue 1,Rogue,,1,,9,13,8,14,13,16,10,14,Chaotic Neutral,Acrobatics|Sleight of Hand|Stealth|Deception|Persuasion,Shortsword|Shortbow|Dagger,,Int,expertise/Sleight of Hand*Deception,,,keen_kepler
4f6049863d9e0b6416f4f858d263b87d,Human,Urban Bounty Hunter,2019-09-22T23:05:12Z,Rogue 1,Rogue,,1,Alert,22,13,8,16,14,12,14,10,Neutral Good,Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Intimidation,Shortsword|Shortbow|Dagger,,Int,expertise/Stealth*Perception,United States,US,quirky_yonath
