hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,alias
a26d8cc84508800f4a065e5ff817b7d8,Sea Elf,Sage,2019-10-07T19:50:00Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,7,15,13,14,15,10,8,15,,Arcana|History|Insight|Perception|Persuasion,"Crossbow, light|Dagger",,Cha,,,,compassionate_ride
b19d74c92eb490aeffb61aea3dee7731,Human,Sage,2019-10-13T04:10:48Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,War Caster,9,14,10,12,14,10,13,16,,Arcana|History|Religion|Insight|Perception,"Crossbow, light|Dagger",,Cha,,United States,US,affectionate_wilson
79d3a15571ad28758089349a9e6e55d3,Dragonborn,Soldier,2019-10-09T21:18:10Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,8,15,10,14,13,12,10,16,,Athletics|Intimidation,Dagger,,Cha,,,,distracted_goodall
1b879b05864ee5cf56e926dda25963c1,Half-Elf,Far Traveler,2019-10-09T21:15:06Z,Sorcerer 1,Sorcerer,Wild Magic,1,,8,12,8,15,14,13,12,12,,Nature|Insight|Medicine|Perception,Dagger,,Cha,,,,jolly_wozniak
293fd7fd54ca4d34cc39b081083e0cd9,Dragonborn,Outlander,2019-10-07T20:03:24Z,Sorcerer 1,Sorcerer,Wild Magic,1,,6,11,15,12,14,10,8,16,,Athletics|Arcana|Survival|Persuasion,Light hammer|Dagger,,Cha,,,,sad_wright
34f55466055148cb5737164413f9ab85,Storm,Criminal,2021-09-21T20:23:29Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,6,12,11,15,15,12,9,16,,Stealth|Deception|Intimidation|Persuasion,Dagger,,Cha,,United States,US,vibrant_matsumoto
18a6384182be0281b4907d7c9958d500,Tiefling,Haunted One,2019-09-15T13:46:07Z,Sorcerer 1,Sorcerer,Storm Sorcery,1,,7,12,15,14,13,13,10,10,,Arcana|Investigation|Deception|Persuasion,Javelin|Dagger,,Cha,,United States,US,sharp_ellis
520f1e74d6356524c5ea6a48f5500e6d,Protector Aasimar,Noble,2019-09-03T14:19:10Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,11,10,12,14,13,9,17,,History|Insight|Intimidation|Persuasion,Dagger,Cure Wounds*1,Cha,,,,infallible_swartz
5f7d8332369bd0a82b9f124d38e79e7a,Dark Elf,Hermit,2019-10-02T14:37:52Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,7,12,8,15,12,14,10,16,True Neutral,Arcana|History|Perception|Deception|Performance,"Dagger|Crossbow, Light",Dancing Lights*0|Shocking Grasp*0|Ray Of Frost*0|Minor Illusion*0|Mage Hand*0|Thunderwave*1|False Life*1,Cha,,United States,US,pedantic_meninsky
6ac7ca152431d1f24d0d201faeacd730,Human,Acolyte,2019-09-30T01:36:24Z,Sorcerer 1,Sorcerer,Divine Soul,1,War Caster,6,12,8,15,10,8,16,16,,Arcana|Religion|Insight|Deception|Persuasion,Quarterstaff|Dagger,Firebolt*0|Light*0|Shocking grasp*0|Thunderclap*0|Cure Wounds*1|Catapult*1|Magic Missle*1,Cha,,United States,US,cool_mayer
108bc084383637ad2f99f3da3e0b0233,Half-Orc,Criminal,2019-11-29T19:51:00Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,8,16,10,16,13,13,13,17,,Stealth|Arcana|Insight|Deception|Intimidation,Dagger,,Cha,,United Kingdom,GB,objective_gates
ec75f159afa57702e7df29458591d434,,Custom,2021-06-06T13:35:11Z,Sorcerer 1,Sorcerer,Wild Magic,1,,8,12,9,14,15,13,11,16,,Arcana|Investigation|Insight|Persuasion,"Crossbow, light|Dagger",,Cha,,,,hardcore_bhaskara
16ef490725f4535ac4e95ded9e5baac4,Human,Urchin,2019-12-08T23:34:57Z,Sorcerer 1,Sorcerer,Shadow Magic,1,Elemental Adept,9,12,12,15,17,9,13,18,chaotic neutral,Sleight of Hand|Stealth|Deception|Intimidation|Persuasion,Dagger|Firebolt|Shocking Grasp,Mage Hand*0|Minor Illusion*0|Fire Bolt*0|Shocking Grasp*0|Shield*1|Mage Armor*1,Cha,,United States,US,infallible_lichterman
1a8ff326e107e251a2b43199a8994324,Lineage - Glas,Noble,2021-05-18T08:31:09Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,8,14,14,12,10,17,,History|Deception|Intimidation|Persuasion,Quarterstaff|Dagger,Ray of Frost*0|Acid Splash*0|Minor Illision*0|Message*0|Chaos Bolt*1|Burning Hands*1,Cha,,Canada,CA,boring_brattain
abb799734eeb1c1753cf84e885ec4d28,Half-Elf,Smuggler,2019-11-06T19:35:08Z,Sorcerer 1,Sorcerer,Divine Soul,1,,8,13,8,16,15,10,10,16,,Athletics|Stealth|Arcana|Insight|Perception|Deception,"Crossbow, light|Dagger",Cure Wounds*1,Cha,,United States,US,agitated_leakey
8f9d9817279f382356df667d0ae4d5ba,Tiefling,Outlander,2021-06-18T14:22:21Z,Sorcerer 1,Sorcerer,Aberrant Mind,1,,8,13,8,16,14,11,10,15,,Athletics|Arcana|Survival|Intimidation,Dagger,Mind Sliver*0|Arms of Hatred*1|Dissonent Whispers*1,Cha,tiefling variants menu/Winged,United States,US,vigorous_sinoussi
1fb595bcaa506f6515363a4dbc4544a1,Tiefling,Faction Agent,2019-10-31T02:28:57Z,Sorcerer 1,Sorcerer,Shadow Magic,1,,8,13,12,16,14,12,14,18,,Insight|Deception|Intimidation|Persuasion,Dagger|Dagger,Mage Hand*0|Firebolt*0|Shocking Grasp*0|Prestidigitation*0|Shield*1|Magic Missile*1,Cha,tiefling variants menu/Winged,India,IN,hopeful_franklin
5e6ae7c06285ca745d0a7a2cb1c6cbb3,Tiefling,Mercenary Veteran,2021-09-21T20:29:52Z,Sorcerer 1,Sorcerer,Clockwork Soul,1,,0,11,10,12,13,16,14,8,,Athletics|Arcana|Deception|Persuasion,Dagger,Alarm*1|Protection from Evil and Good*1,Cha,tiefling variants menu/Devil's Tongue,United States,US,brave_thompson
ed2e83405918dc1fbaaff97d111a268f,Half-Orc,Haunted One,2019-11-19T17:16:11Z,Sorcerer 1,Sorcerer,Draconic Bloodline,1,,9,15,14,14,14,10,10,14,true neutral,Investigation|Insight|Survival|Deception|Intimidation,Quarterstaff|Dagger,,Cha,,,,pedantic_kepler
7164c6f70deb16b0f05801642c268313,Human,Far Traveler,2019-11-13T21:07:41Z,Sorcerer 1,Sorcerer,Wild Magic,1,,10,11,9,13,18,13,12,19,,Arcana|Insight|Perception|Intimidation,Quarterstaff|Dagger,,Cha,,Italy,IT,vigorous_volhard
