hash,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,alias
56c92961c98aac49411817a565a63b02,Tiefling,Urban Bounty Hunter,2020-01-09T19:46:02Z,Warlock 1,Warlock,The Fiend,1,,10,12,8,14,14,11,10,17,Chaotic Good,Stealth|Deception|Intimidation|Persuasion,Dagger,,Cha,tiefling variants menu/Winged,United States,US,youthful_jang
3819682e2080b9f3ae1c6aea22b636b5,Human,Acolyte,2021-07-10T12:01:37Z,Warlock 1,Warlock,The Hexblade,1,Polearm Master,5,14,13,16,10,8,12,18,,History|Investigation|Religion|Insight|Perception,Dagger|Dagger,,Cha,,Norway,NO,loving_leavitt
62a177405ea938f317c089ca16e1555c,Tiefling,Haunted One,2019-10-13T04:08:38Z,Warlock 1,Warlock,The Archfey,1,,10,12,10,12,14,14,10,16,,Arcana|Investigation|Nature|Survival,"Crossbow, light|Dagger",,Cha,tiefling variants menu/Devil's Tongue,United States,US,upbeat_napier
72303233e0cd0c774f9fb506b003a2cf,Eladrin ToF,Noble,2021-07-13T04:21:14Z,Warlock 1,Warlock,The Fiend,1,,8,14,8,16,13,10,12,16,,History|Perception|Deception|Intimidation|Persuasion,"Crossbow, light|Dagger",,Cha,,Canada,CA,magical_benz
d4155c223ca63da0ffb93a04861a0a4a,Deep Gnome,Smuggler,2021-06-26T02:49:39Z,Warlock 1,Warlock,The Undying,1,,10,11,15,9,15,10,8,15,,Athletics|Arcana|Deception|Intimidation,"Crossbow, light|Dagger",Spare the Dying*0|Green Flame Blade*0|Toll The Dead*0|False Life*1|Ray Of Sickness*1|Arms Of Hadar*1|Witch Bolt*1,Cha,,United States,US,dreamy_neumann
110edb9f674b96ff803de7c253aebfb3,Tiefling,Charlatan,2019-09-16T21:19:05Z,Warlock 1,Warlock,The Fiend,1,,9,14,10,14,13,12,10,17,Chaotic Neutral,Stealth|Investigation|Perception|Deception|Intimidation,Quarterstaff|Dagger,Thaumaturgy*0|Eldritch Blast*0|Prestidigitation*0|Burning Hands*1|Command*1,Cha,,United States,US,crazy_ganguly
8abcbd46ddcb67166bf9ebf9b030f143,Variant,Acolyte,2019-09-15T21:27:07Z,Warlock 1,Warlock,The Fiend,1,,11,14,12,16,17,14,17,20,,Arcana|Investigation|Religion|Insight,"Crossbow, light|Dagger",,Cha,,Canada,CA,sleepy_banzai
f0ecbf52b74ec007688bbb6da51036bc,Variant,Sage,2019-09-15T21:26:06Z,Warlock 1,Warlock,The Fiend,1,,10,13,10,14,14,12,18,20,,Arcana|History|Investigation|Intimidation,"Crossbow, light|Dagger",,Cha,,Sweden,SE,reverent_pascal
d174788f70c11d1aaa8e208f0b527449,Kobold,Knight,2019-09-14T18:22:20Z,Warlock 1,Warlock,The Hexblade,1,,10,17,13,18,14,11,14,18,,Arcana|History|Investigation|Intimidation|Persuasion,Katana (Pact Weapon),Eldritch Blast*0|Create Bonfire*0|Shield*1|Wrathful Smite*1|Hellish Rebuke*1|Hex*1,Cha,,United Kingdom,GB,sweet_khorana
624880ea5cec14f656c454e70d12fd14,Lineage - Levi,Sage,2019-10-13T05:24:42Z,Warlock 1,Warlock,The Hexblade,1,,11,18,8,15,16,8,8,17,NG,Arcana|History|Deception|Intimidation,"Crossbow, light|Longsword|Longsword|H.C. Longsword|2H H.C. Longsword",Eldritch Blast*0|Thaumaturgy*0|Toll The Dead*0|Hex*1|Shield*1,Cha,,,,mystifying_chatelet
